leg,entry_date,exit_date,hold_days,weight,entry_price,exit_price,gross_ret_pct,leveraged_ret_pct,split
GLD,2001-05-14,2001-11-13,183,1.0,,,0.0,0.0,IS
QQQ,2001-11-06,2002-01-16,71,1.0,38.19,38.78,1.5449,3.0898,IS
SPY,2001-11-13,2001-11-28,15,1.0,114.55,113.34,-1.0563,-2.1126,IS
GLD,2001-11-28,2001-11-29,1,0.5,,,0.0,0.0,IS
SPY,2001-11-29,2001-12-03,4,1.0,114.87,113.37,-1.3058,-2.6116,IS
GLD,2001-12-03,2001-12-04,1,0.5,,,0.0,0.0,IS
SPY,2001-12-04,2001-12-13,9,1.0,115.29,112.06,-2.8016,-5.6033,IS
GLD,2001-12-13,2001-12-17,4,0.5,,,0.0,0.0,IS
SPY,2001-12-17,2002-01-14,28,1.0,114.3,114.22,-0.07,-0.14,IS
GLD,2002-01-14,2002-01-15,1,0.5,,,0.0,0.0,IS
SPY,2002-01-15,2002-01-16,1,1.0,115.15,112.82,-2.0234,-4.0469,IS
GLD,2002-01-16,2002-03-08,51,1.0,,,0.0,0.0,IS
QQQ,2002-01-17,2002-01-18,1,1.0,39.65,38.59,-2.6734,-5.3468,IS
QQQ,2002-01-28,2002-01-29,1,1.0,39.05,37.98,-2.7401,-5.4802,IS
SPY,2002-03-01,2002-03-25,24,1.0,113.74,113.61,-0.1143,-0.2286,IS
QQQ,2002-03-08,2002-03-13,5,1.0,38.67,37.08,-4.1117,-8.2234,IS
GLD,2002-03-13,2002-11-05,237,0.5,,,0.0,0.0,IS
SPY,2002-03-26,2002-04-03,8,1.0,114.27,113.14,-0.9889,-1.9778,IS
QQQ,2002-10-25,2002-10-28,3,1.0,24.7,24.49,-0.8502,-1.7004,IS
QQQ,2002-11-01,2002-11-11,10,1.0,25.25,24.31,-3.7228,-7.4455,IS
SPY,2002-11-05,2002-11-07,2,1.0,91.85,90.76,-1.1867,-2.3734,IS
GLD,2002-11-07,2002-11-15,8,0.5,,,0.0,0.0,IS
QQQ,2002-11-12,2002-12-09,27,1.0,24.93,25.22,1.1633,2.3265,IS
SPY,2002-11-15,2002-11-18,3,1.0,91.4,90.48,-1.0066,-2.0131,IS
GLD,2002-11-18,2002-11-20,2,0.5,,,0.0,0.0,IS
SPY,2002-11-20,2002-12-05,15,1.0,92.37,91.43,-1.0176,-2.0353,IS
GLD,2002-12-05,2002-12-06,1,0.5,,,0.0,0.0,IS
SPY,2002-12-06,2002-12-09,3,1.0,92.03,89.5,-2.7491,-5.4982,IS
GLD,2002-12-09,2002-12-16,7,1.0,,,0.0,0.0,IS
QQQ,2002-12-10,2002-12-13,3,1.0,25.6,25.04,-2.1875,-4.375,IS
QQQ,2002-12-16,2002-12-18,2,1.0,25.85,25.38,-1.8182,-3.6364,IS
SPY,2002-12-16,2002-12-17,1,1.0,91.65,90.85,-0.8729,-1.7458,IS
GLD,2002-12-17,2003-01-02,16,0.5,,,0.0,0.0,IS
QQQ,2002-12-23,2002-12-24,1,1.0,25.67,25.35,-1.2466,-2.4932,IS
QQQ,2003-01-02,2003-01-17,15,1.0,25.4,25.31,-0.3543,-0.7087,IS
SPY,2003-01-02,2003-01-17,15,1.0,91.07,90.66,-0.4502,-0.9004,IS
GLD,2003-01-17,2003-03-19,61,1.0,,,0.0,0.0,IS
QQQ,2003-02-18,2003-02-19,1,1.0,25.25,25.08,-0.6733,-1.3465,IS
QQQ,2003-03-13,2003-03-31,18,1.0,25.62,25.25,-1.4442,-2.8884,IS
SPY,2003-03-19,2003-03-24,5,1.0,87.96,86.69,-1.4438,-2.8877,IS
GLD,2003-03-24,2003-04-02,9,0.5,,,0.0,0.0,IS
QQQ,2003-04-01,2004-03-08,342,1.0,25.45,35.77,40.5501,81.1002,IS
SPY,2003-04-02,2003-04-09,7,1.0,88.12,87.03,-1.237,-2.4739,IS
GLD,2003-04-09,2003-04-10,1,0.5,,,0.0,0.0,IS
SPY,2003-04-10,2003-04-11,1,1.0,87.51,87.15,-0.4114,-0.8228,IS
GLD,2003-04-11,2003-04-14,3,0.5,,,0.0,0.0,IS
SPY,2003-04-14,2004-03-22,343,1.0,88.95,109.65,23.2715,46.543,IS
GLD,2004-03-08,2004-03-29,21,0.5,,,0.0,0.0,IS
SPY,2004-03-25,2004-04-30,36,1.0,111.0,110.96,-0.036,-0.0721,IS
QQQ,2004-03-29,2004-04-20,22,1.0,35.79,35.68,-0.3073,-0.6147,IS
GLD,2004-04-20,2004-04-21,1,0.5,,,0.0,0.0,IS
QQQ,2004-04-21,2004-04-29,8,1.0,35.99,35.64,-0.9725,-1.945,IS
GLD,2004-04-29,2004-05-25,26,0.5,,,0.0,0.0,IS
SPY,2004-05-03,2004-05-06,3,1.0,112.15,111.81,-0.3032,-0.6063,IS
QQQ,2004-05-25,2004-07-06,42,1.0,35.96,36.03,0.1947,0.3893,IS
SPY,2004-05-25,2004-07-06,42,1.0,111.85,111.89,0.0358,0.0715,IS
GLD,2004-07-06,2004-09-10,66,1.0,,,0.0,0.0,IS
SPY,2004-08-25,2004-08-30,5,1.0,111.1,110.53,-0.5131,-1.0261,IS
SPY,2004-08-31,2004-09-23,23,1.0,111.11,110.95,-0.144,-0.288,IS
QQQ,2004-09-10,2004-09-22,12,1.0,35.12,34.95,-0.4841,-0.9681,IS
GLD,2004-09-22,2004-09-29,7,0.5,,,0.0,0.0,IS
SPY,2004-09-24,2004-09-27,3,1.0,111.46,110.75,-0.637,-1.274,IS
QQQ,2004-09-29,2005-01-20,113,1.0,35.08,37.35,6.4709,12.9418,IS
SPY,2004-09-29,2004-10-13,14,1.0,111.84,111.54,-0.2682,-0.5365,IS
GLD,2004-10-13,2004-10-27,14,0.5,,,0.0,0.0,IS
SPY,2004-10-27,2005-03-21,145,1.0,112.88,118.1,4.6244,9.2488,IS
GLD,2005-01-20,2005-02-04,15,0.5,42.25,41.47,-1.8462,-1.8462,IS
QQQ,2005-02-04,2005-02-07,3,1.0,37.75,37.674,-0.2013,-0.4026,IS
GLD,2005-02-07,2005-02-08,1,0.5,41.27,41.26,-0.0242,-0.0242,IS
QQQ,2005-02-08,2005-02-09,1,1.0,37.74,37.11,-1.6693,-3.3386,IS
GLD,2005-02-09,2005-02-11,2,0.5,41.31,42.08,1.864,1.864,IS
QQQ,2005-02-11,2005-02-17,6,1.0,37.7,37.47,-0.6101,-1.2202,IS
GLD,2005-02-17,2005-03-07,18,0.5,42.73,43.47,1.7318,1.7318,IS
QQQ,2005-03-07,2005-03-09,2,1.0,38.06,37.57,-1.2874,-2.5749,IS
GLD,2005-03-09,2005-05-17,69,0.5,44.02,41.86,-4.9069,-4.9069,IS
SPY,2005-04-06,2005-04-08,2,1.0,118.6,118.0,-0.5059,-1.0118,IS
SPY,2005-04-12,2005-04-13,1,1.0,118.7,117.3,-1.1794,-2.3589,IS
SPY,2005-05-09,2005-05-10,1,1.0,117.82,116.6,-1.0355,-2.071,IS
QQQ,2005-05-17,2005-06-24,38,1.0,36.7,36.97,0.7357,1.4714,IS
SPY,2005-05-17,2005-08-26,101,1.0,117.58,120.76,2.7045,5.4091,IS
GLD,2005-06-24,2005-06-28,4,0.5,43.9,43.45,-1.0251,-1.0251,IS
QQQ,2005-06-28,2005-06-29,1,1.0,37.15,37.068,-0.2207,-0.4415,IS
GLD,2005-06-29,2005-07-05,6,0.5,43.63,42.28,-3.0942,-3.0942,IS
QQQ,2005-07-05,2005-07-06,1,1.0,37.11,36.93,-0.485,-0.9701,IS
GLD,2005-07-06,2005-07-08,2,0.5,42.25,42.26,0.0237,0.0237,IS
QQQ,2005-07-08,2005-10-06,90,1.0,37.77,38.25,1.2708,2.5417,IS
GLD,2005-08-26,2005-08-29,3,0.5,43.61,43.57,-0.0917,-0.0917,IS
SPY,2005-08-29,2005-09-21,23,1.0,121.69,120.91,-0.641,-1.2819,IS
GLD,2005-09-21,2005-09-26,5,0.5,47.06,46.57,-1.0412,-1.0412,IS
SPY,2005-09-26,2005-10-04,8,1.0,121.58,121.22,-0.2961,-0.5922,IS
GLD,2005-10-04,2005-11-02,29,0.5,46.45,46.13,-0.6889,-0.6889,IS
QQQ,2005-10-19,2005-10-20,1,1.0,38.67,38.306,-0.9413,-1.8826,IS
QQQ,2005-10-21,2005-10-27,6,1.0,38.55,38.03,-1.3489,-2.6978,IS
QQQ,2005-10-31,2006-02-07,99,1.0,38.87,40.63,4.5279,9.0558,IS
SPY,2005-11-02,2006-05-17,196,1.0,121.75,126.85,4.1889,8.3778,IS
GLD,2006-02-07,2006-02-08,1,0.5,54.6,54.83,0.4212,0.4212,IS
QQQ,2006-02-08,2006-02-09,1,1.0,41.1,40.71,-0.9489,-1.8978,IS
GLD,2006-02-09,2006-02-10,1,0.5,56.18,54.79,-2.4742,-2.4742,IS
QQQ,2006-02-10,2006-02-13,3,1.0,40.96,40.49,-1.1475,-2.2949,IS
GLD,2006-02-13,2006-02-14,1,0.5,53.72,54.49,1.4334,1.4334,IS
QQQ,2006-02-14,2006-02-21,7,1.0,40.9,40.75,-0.3667,-0.7335,IS
GLD,2006-02-21,2006-02-22,1,0.5,55.12,55.34,0.3991,0.3991,IS
QQQ,2006-02-22,2006-03-07,13,1.0,41.26,40.85,-0.9937,-1.9874,IS
GLD,2006-03-07,2006-03-14,7,0.5,54.95,54.87,-0.1456,-0.1456,IS
QQQ,2006-03-14,2006-05-11,58,1.0,41.37,40.74,-1.5228,-3.0457,IS
GLD,2006-05-11,2006-08-16,97,0.5,71.03,62.49,-12.0231,-12.0231,IS
SPY,2006-06-01,2006-06-05,4,1.0,128.73,127.12,-1.2507,-2.5013,IS
SPY,2006-07-03,2006-07-05,2,1.0,127.8,127.07,-0.5712,-1.1424,IS
SPY,2006-07-06,2006-07-07,1,1.0,127.44,126.61,-0.6513,-1.3026,IS
SPY,2006-07-11,2006-07-12,1,1.0,127.41,126.05,-1.0674,-2.1348,IS
SPY,2006-07-28,2006-08-09,12,1.0,127.98,126.98,-0.7814,-1.5627,IS
SPY,2006-08-10,2006-08-11,1,1.0,127.37,127.01,-0.2826,-0.5653,IS
SPY,2006-08-14,2007-02-27,197,1.0,127.11,139.5,9.7475,19.4949,IS
QQQ,2006-08-16,2006-08-21,5,1.0,38.58,38.42,-0.4147,-0.8294,IS
GLD,2006-08-21,2006-08-28,7,0.5,62.44,61.0,-2.3062,-2.3062,IS
QQQ,2006-08-28,2006-09-07,10,1.0,38.61,38.4799,-0.337,-0.6739,IS
GLD,2006-09-07,2006-09-08,1,0.5,61.25,60.64,-0.9959,-0.9959,IS
QQQ,2006-09-08,2007-02-27,172,1.0,38.72,43.19,11.5444,23.0888,IS
GLD,2007-02-27,2007-02-28,1,1.0,65.41,66.48,1.6358,1.6358,IS
QQQ,2007-02-28,2007-03-01,1,1.0,43.33,43.13,-0.4616,-0.9231,IS
SPY,2007-02-28,2007-03-02,2,1.0,140.93,138.67,-1.6036,-3.2073,IS
GLD,2007-03-01,2007-03-12,11,0.5,65.82,64.37,-2.203,-2.203,IS
SPY,2007-03-08,2007-03-13,5,1.0,140.74,138.25,-1.7692,-3.5384,IS
QQQ,2007-03-12,2007-03-13,1,1.0,43.21,42.37,-1.944,-3.888,IS
GLD,2007-03-13,2007-03-20,7,1.0,63.72,65.27,2.4325,2.4325,IS
QQQ,2007-03-19,2007-08-14,148,1.0,43.27,46.79,8.135,16.2699,IS
SPY,2007-03-20,2007-07-26,128,1.0,140.97,148.02,5.0011,10.0021,IS
GLD,2007-07-26,2007-08-08,13,0.5,65.65,66.77,1.706,1.706,IS
SPY,2007-08-08,2007-08-09,1,1.0,149.83,145.39,-2.9634,-5.9267,IS
GLD,2007-08-09,2007-08-24,15,0.5,65.46,66.11,0.993,0.993,IS
QQQ,2007-08-21,2007-08-28,7,1.0,47.02,46.74,-0.5955,-1.191,IS
SPY,2007-08-24,2007-08-27,3,1.0,148.33,146.95,-0.9304,-1.8607,IS
GLD,2007-08-27,2007-09-04,8,0.5,65.98,67.44,2.2128,2.2128,IS
QQQ,2007-08-29,2007-11-09,72,1.0,48.08,50.0,3.9933,7.9867,IS
SPY,2007-09-04,2007-09-05,1,1.0,149.08,147.79,-0.8653,-1.7306,IS
GLD,2007-09-05,2007-09-06,1,0.5,67.56,68.86,1.9242,1.9242,IS
SPY,2007-09-06,2007-09-07,1,1.0,148.13,146.07,-1.3907,-2.7813,IS
GLD,2007-09-07,2007-09-12,5,0.5,69.39,70.46,1.542,1.542,IS
SPY,2007-09-12,2007-10-19,37,1.0,147.87,149.67,1.2173,2.4346,IS
GLD,2007-10-19,2007-10-22,3,0.5,75.7,74.6,-1.4531,-1.4531,IS
SPY,2007-10-22,2007-11-05,14,1.0,150.54,150.05,-0.3255,-0.651,IS
GLD,2007-11-05,2007-11-06,1,0.5,79.75,81.43,2.1066,2.1066,IS
SPY,2007-11-06,2007-11-07,1,1.0,152.07,147.91,-2.7356,-5.4712,IS
GLD,2007-11-07,2007-12-06,29,0.5,82.24,79.37,-3.4898,-3.4898,IS
QQQ,2007-11-13,2007-11-14,1,1.0,50.74,50.09,-1.281,-2.5621,IS
QQQ,2007-11-28,2007-12-17,19,1.0,51.48,49.73,-3.3994,-6.7988,IS
SPY,2007-12-06,2007-12-11,5,1.0,150.94,147.91,-2.0074,-4.0148,IS
GLD,2007-12-11,2007-12-12,1,0.5,78.84,80.49,2.0928,2.0928,IS
SPY,2007-12-12,2007-12-13,1,1.0,149.37,149.06,-0.2075,-0.4151,IS
GLD,2007-12-13,2007-12-24,11,0.5,78.5,80.14,2.0892,2.0892,IS
QQQ,2007-12-20,2008-01-02,13,1.0,50.9,50.45,-0.8841,-1.7682,IS
SPY,2007-12-24,2007-12-27,3,1.0,149.23,147.67,-1.0454,-2.0907,IS
GLD,2007-12-27,2008-04-18,113,0.5,81.56,90.62,11.1084,11.1084,IS
QQQ,2008-04-18,2008-06-20,63,1.0,46.71,47.42,1.52,3.04,IS
SPY,2008-04-18,2008-04-22,4,1.0,138.48,137.94,-0.3899,-0.7799,IS
GLD,2008-04-22,2008-04-24,2,0.5,90.27,87.22,-3.3788,-3.3788,IS
SPY,2008-04-24,2008-05-23,29,1.0,138.32,137.64,-0.4916,-0.9832,IS
GLD,2008-05-23,2008-05-28,5,0.5,91.23,89.14,-2.2909,-2.2909,IS
SPY,2008-05-28,2008-06-03,6,1.0,139.3,138.09,-0.8686,-1.7373,IS
GLD,2008-06-03,2008-06-05,2,0.5,86.88,86.45,-0.4949,-0.4949,IS
SPY,2008-06-05,2008-06-06,1,1.0,140.78,136.29,-3.1894,-6.3788,IS
GLD,2008-06-06,2009-04-09,307,0.5,89.06,86.31,-3.0878,-3.0878,IS
QQQ,2008-06-25,2008-06-26,1,1.0,47.57,45.65,-4.0362,-8.0723,IS
QQQ,2008-08-06,2008-08-07,1,1.0,46.63,46.27,-0.772,-1.5441,IS
QQQ,2008-08-08,2008-08-25,17,1.0,47.32,46.49,-1.754,-3.508,IS
QQQ,2008-08-27,2008-08-29,2,1.0,46.73,46.12,-1.3054,-2.6107,IS
QQQ,2009-03-23,2009-03-24,1,1.0,30.9,30.33,-1.8447,-3.6893,IS
QQQ,2009-03-26,2009-03-30,4,1.0,31.41,30.06,-4.298,-8.596,IS
QQQ,2009-04-01,2010-01-29,303,1.0,30.77,42.79,39.064,78.128,IS
SPY,2009-04-09,2009-04-14,5,1.0,85.81,84.35,-1.7014,-3.4029,IS
GLD,2009-04-14,2009-04-16,2,0.5,87.37,85.81,-1.7855,-1.7855,IS
SPY,2009-04-16,2009-04-20,4,1.0,86.5,83.43,-3.5491,-7.0983,IS
GLD,2009-04-20,2009-04-24,4,0.5,86.95,89.72,3.1857,3.1857,IS
SPY,2009-04-24,2009-07-07,74,1.0,86.66,88.06,1.6155,3.231,IS
GLD,2009-07-07,2009-07-13,6,0.5,90.71,90.19,-0.5733,-0.5733,IS
SPY,2009-07-13,2010-01-29,200,1.0,90.1,107.39,19.1898,38.3796,IS
GLD,2010-01-29,2010-02-02,4,1.0,105.96,109.13,2.9917,2.9917,IS
SPY,2010-02-01,2010-02-04,3,1.0,109.06,106.44,-2.4023,-4.8047,IS
QQQ,2010-02-02,2010-02-04,2,1.0,43.65,42.62,-2.3597,-4.7194,IS
GLD,2010-02-04,2010-02-16,12,1.0,104.37,109.62,5.0302,5.0302,IS
QQQ,2010-02-11,2010-05-06,84,1.0,43.67,46.57,6.6407,13.2814,IS
SPY,2010-02-16,2010-05-06,79,1.0,109.74,112.94,2.916,5.832,IS
GLD,2010-05-06,2010-05-10,4,1.0,118.486,117.57,-0.7731,-0.7731,IS
QQQ,2010-05-10,2010-05-18,8,1.0,47.77,46.43,-2.8051,-5.6102,IS
SPY,2010-05-10,2010-05-14,4,1.0,116.16,113.89,-1.9542,-3.9084,IS
GLD,2010-05-14,2010-07-26,73,0.5,120.37,115.52,-4.0292,-4.0292,IS
QQQ,2010-06-03,2010-06-04,1,1.0,46.69,45.0925,-3.4215,-6.843,IS
QQQ,2010-06-15,2010-06-22,7,1.0,46.71,46.24,-1.0062,-2.0124,IS
QQQ,2010-07-22,2010-07-29,7,1.0,45.77,45.71,-0.1311,-0.2622,IS
SPY,2010-07-26,2010-07-29,3,1.0,111.56,110.29,-1.1384,-2.2768,IS
GLD,2010-07-29,2010-08-02,4,1.0,114.288,115.54,1.0955,1.0955,IS
QQQ,2010-07-30,2010-08-11,12,1.0,45.81,45.4,-0.895,-1.79,IS
SPY,2010-08-02,2010-08-11,9,1.0,112.76,109.3,-3.0685,-6.1369,IS
GLD,2010-08-11,2010-09-03,23,1.0,117.34,121.86,3.8521,3.8521,IS
QQQ,2010-09-03,2011-03-16,194,1.0,46.01,54.15,17.6918,35.3836,IS
SPY,2010-09-03,2010-09-07,4,1.0,110.89,109.64,-1.1272,-2.2545,IS
GLD,2010-09-07,2010-09-08,1,0.5,122.7,122.71,0.0081,0.0081,IS
SPY,2010-09-08,2011-03-16,189,1.0,110.41,126.18,14.2831,28.5663,IS
GLD,2011-03-16,2011-03-21,5,1.0,136.24,139.14,2.1286,2.1286,IS
SPY,2011-03-17,2011-06-03,78,1.0,127.85,130.42,2.0102,4.0203,IS
QQQ,2011-03-21,2011-05-24,64,1.0,55.5,56.57,1.9279,3.8559,IS
GLD,2011-05-24,2011-05-25,1,0.5,148.59,148.58,-0.0067,-0.0067,IS
QQQ,2011-05-25,2011-06-03,9,1.0,56.79,56.35,-0.7748,-1.5496,IS
GLD,2011-06-03,2011-06-29,26,1.0,150.22,147.18,-2.0237,-2.0237,IS
QQQ,2011-06-29,2011-08-02,34,1.0,56.3,56.27,-0.0533,-0.1066,IS
SPY,2011-06-29,2011-07-18,19,1.0,130.72,130.61,-0.0841,-0.1683,IS
GLD,2011-07-18,2011-07-19,1,0.5,156.57,154.66,-1.2199,-1.2199,IS
SPY,2011-07-19,2011-07-27,8,1.0,132.73,130.6,-1.6048,-3.2095,IS
GLD,2011-07-27,2011-10-14,79,0.5,157.19,163.4,3.9506,3.9506,IS
QQQ,2011-09-14,2011-09-21,7,1.0,55.36,55.38,0.0361,0.0723,IS
QQQ,2011-10-10,2011-11-17,38,1.0,55.94,55.83,-0.1966,-0.3933,IS
SPY,2011-10-14,2011-10-17,3,1.0,122.57,120.23,-1.9091,-3.8182,IS
GLD,2011-10-17,2011-10-18,1,0.5,162.62,161.84,-0.4796,-0.4796,IS
SPY,2011-10-18,2011-10-19,1,1.0,122.58,121.13,-1.1829,-2.3658,IS
GLD,2011-10-19,2011-10-21,2,0.5,159.87,159.52,-0.2189,-0.2189,IS
SPY,2011-10-21,2011-11-01,11,1.0,123.97,122.0,-1.5891,-3.1782,IS
GLD,2011-11-01,2011-11-02,1,0.5,167.38,169.06,1.0037,1.0037,IS
SPY,2011-11-02,2011-11-17,15,1.0,123.99,122.11,-1.5163,-3.0325,IS
GLD,2011-11-17,2011-11-30,13,1.0,167.1,170.13,1.8133,1.8133,IS
QQQ,2011-11-30,2011-12-13,13,1.0,56.39,55.76,-1.1172,-2.2344,IS
SPY,2011-11-30,2011-12-13,13,1.0,124.99,123.05,-1.5521,-3.1042,IS
