date,LETF_vs_QQQ,LETF_vs_GLD,QQQ_vs_GLD
2004-11-18,,,
2004-11-19,,,
2004-11-22,,,
2004-11-23,,,
2004-11-24,,,
2004-11-26,,,
2004-11-29,,,
2004-11-30,,,
2004-12-01,,,
2004-12-02,,,
2004-12-03,,,
2004-12-06,,,
2004-12-07,,,
2004-12-08,,,
2004-12-09,,,
2004-12-10,,,
2004-12-13,,,
2004-12-14,,,
2004-12-15,,,
2004-12-16,,,
2004-12-17,,,
2004-12-20,,,
2004-12-21,,,
2004-12-22,,,
2004-12-23,,,
2004-12-27,,,
2004-12-28,,,
2004-12-29,,,
2004-12-30,,,
2004-12-31,,,
2005-01-03,,,
2005-01-04,,,
2005-01-05,,,
2005-01-06,,,
2005-01-07,,,
2005-01-10,,,
2005-01-11,,,
2005-01-12,,,
2005-01-13,,,
2005-01-14,,,
2005-01-18,,,
2005-01-19,,,
2005-01-20,,,
2005-01-21,,,
2005-01-24,,,
2005-01-25,,,
2005-01-26,,,
2005-01-27,,,
2005-01-28,,,
2005-01-31,,,
2005-02-01,,,
2005-02-02,,,
2005-02-03,,,
2005-02-04,,,
2005-02-07,,,
2005-02-08,,,
2005-02-09,,,
2005-02-10,,,
2005-02-11,,,
2005-02-14,,,
2005-02-15,,,
2005-02-16,,,
2005-02-17,0.6102416584844077,,
2005-02-18,0.610794472275034,,
2005-02-22,0.5407013406832208,,
2005-02-23,0.5270613792422648,,
2005-02-24,0.5232049237281824,,
2005-02-25,0.5143259674515892,,
2005-02-28,0.5078203323362558,,
2005-03-01,0.5078809446625941,,
2005-03-02,0.5084812861862633,,
2005-03-03,0.4636979330525887,,
2005-03-04,0.4521946950038088,,
2005-03-07,0.4542213533427164,,
2005-03-08,0.45582347641879895,-0.09159044503955872,0.01232230870016573
2005-03-09,0.39889248892186785,-0.08518388643955342,0.005374660703120049
2005-03-10,0.3869185237352618,-0.06662621925868922,0.010724121421262181
2005-03-11,0.37562252337558005,-0.11867449286963856,0.018366415228719367
2005-03-14,0.37666272251625216,-0.1680057440424391,0.0072886726479630855
2005-03-15,0.33721640038549205,-0.17139420095064162,0.011588279645530225
2005-03-16,0.3221565246657369,-0.21576320678943428,0.019138541656172153
2005-03-17,0.32629541408562196,-0.203442989690654,0.0053926541208340305
2005-03-18,0.3382675018056901,-0.2069807689772348,0.004828783148064935
2005-03-21,0.3303626671809365,-0.10475428412589917,-0.003762495140259057
2005-03-22,0.331221770437367,-0.09048507728501334,-0.0027585527043960637
2005-03-23,0.2927344709934532,-0.09274555407145994,-0.006472346622645358
2005-03-24,0.29003607155748834,-0.09322333963850397,-0.006833601207561861
2005-03-28,0.2894076167085118,-0.09334586937560385,-0.007034112104637812
2005-03-29,0.28803860480237,-0.09310934120026841,-0.005945496264824155
2005-03-30,0.2589881913881255,-0.08916830268973243,-0.009510660970122964
2005-03-31,0.256174760896139,-0.08962602795287504,-0.00992596382313689
2005-04-01,0.2547236606553882,-0.08966083740862953,-0.009692437960474051
2005-04-04,0.25318876295329296,-0.08943035234704705,-0.009130296126605927
2005-04-05,0.24131190387243884,-0.08831019460779008,-0.006683269627270054
2005-04-06,,-0.0886468653709928,
2005-04-07,,-0.08738921432867863,
2005-04-08,,-0.08790959371020086,
2005-04-11,,-0.08764410789233343,
2005-04-12,,-0.08750911461252067,
2005-04-13,,-0.08764580593297053,
2005-04-14,,-0.0882755850499059,
2005-04-15,,-0.088420964456666,
2005-04-18,,-0.08964300471024964,
2005-04-19,,-0.09326968538091837,
2005-04-20,,-0.09417785743194632,
2005-04-21,,-0.09417858049596207,
2005-04-22,,-0.09422143478274286,
2005-04-25,,-0.09404916551719335,
2005-04-26,,-0.09461098963081249,
2005-04-27,,-0.09522568881066892,
2005-04-28,,-0.09552609537351038,
2005-04-29,,-0.09552335790968453,
2005-05-02,,-0.09733762385173468,
2005-05-03,,-0.09928818404611925,
2005-05-04,,-0.09770981440495784,
2005-05-05,,-0.0975496646650377,
2005-05-06,,-0.10235014192639227,
2005-05-09,,-0.10052398442758834,
2005-05-10,,-0.10090886317756609,
2005-05-11,,-0.10000386107431626,
2005-05-12,,-0.1010437791262394,
2005-05-13,0.0010271594989690544,-0.10449980748562399,0.006683269627270057
2005-05-16,0.0010330109787776908,-0.10439428773201392,0.009400055384855636
2005-05-17,0.06540560656896252,-0.10342463678829505,0.011527120066216994
2005-05-18,0.21422930171374024,-0.09904767039209951,0.012939208376103661
2005-05-19,0.23005971635635203,-0.09860726344548575,0.014720079830380756
2005-05-20,0.2212772786168374,-0.09897623481329827,0.015842904381384915
2005-05-23,0.24147814730549252,-0.10187489799399232,0.01714362058899333
2005-05-24,0.24160484294193868,-0.10458741213151751,0.018071146289984772
2005-05-25,0.2512442743223622,-0.10707212863971456,0.016245026445721532
2005-05-26,0.2975359024234831,-0.11023347296109266,0.017815871793688046
2005-05-27,0.2940080060997542,-0.11058228925616523,0.01797914900844424
2005-05-31,0.3247390835178236,-0.11163271964913758,0.01671843203102166
2005-06-01,0.36454340289224674,-0.10761428503321908,0.018211030721921904
2005-06-02,0.3648366251954879,-0.10721035177105348,0.019573139903912233
2005-06-03,0.4104401706727694,-0.11479169846243377,0.013415472277752022
2005-06-06,0.4113505112507396,-0.11499927355101291,0.013477640503491256
2005-06-07,0.3870472610096403,-0.07807658280979732,0.024416429423605508
2005-06-08,0.40148546599408724,-0.08100724180848481,0.023086274106823075
2005-06-09,0.4158358498696228,-0.08947752916311781,0.030817470197378814
2005-06-10,0.42034718171206775,-0.04439490693436118,0.028865210645394365
2005-06-13,0.43512634841112313,0.018331114829920055,0.02442018814071211
2005-06-14,0.4314450695189524,0.03226882283112826,0.02296160950420222
2005-06-15,0.4435181101843884,0.11718028574784321,0.03163145307715002
2005-06-16,0.447713058195634,0.15952567539592874,0.024994244951644397
2005-06-17,0.4441610087912622,0.17484618143749378,0.02747674094994432
2005-06-20,0.4454972970697376,0.3987589546930638,0.025444121614774613
2005-06-21,0.4751701566208255,,
2005-06-22,0.4745468985172138,,
2005-06-23,0.5474830380144391,-0.4585722903179009,-0.3250377546505664
2005-06-24,0.571111161072191,-0.2819328907304551,-0.17915270863633845
2005-06-27,0.5705605958969505,-0.2814421486890001,-0.1796295511411574
2005-06-28,0.599650236635854,-0.35181845595863553,-0.07675458915800736
2005-06-29,0.5986445322322723,-0.3653033209827483,-0.07717505798607445
2005-06-30,0.5922267085239008,-0.2823023933504479,-0.06845102292468387
2005-07-01,0.5896945880500487,-0.228899171711183,-0.031214621967576392
2005-07-05,0.5767659128102955,-0.29432281972842333,-0.022474474082124222
2005-07-06,0.563589301326919,-0.28530712489198884,-0.022036532946642325
2005-07-07,0.5670220017397669,-0.2745639220191658,-0.023460938528720984
2005-07-08,0.5602230096920198,-0.29149813756218124,-0.021937870506837254
