tag,fast_span,slow_span,target_vol_annual,rebalance_days,sharpe_full
ewmac8_32_vt10_rb10,8,32,0.1,10,-0.2534
ewmac8_32_vt10_rb20,8,32,0.1,20,-0.2071
ewmac8_32_vt15_rb10,8,32,0.15,10,-0.2490
ewmac8_32_vt15_rb20,8,32,0.15,20,-0.2006
ewmac16_64_vt10_rb10,16,64,0.1,10,-0.0387
ewmac16_64_vt10_rb20,16,64,0.1,20,-0.1170
ewmac16_64_vt15_rb10,16,64,0.15,10,-0.0333
ewmac16_64_vt15_rb20,16,64,0.15,20,-0.1114
ewmac32_128_vt10_rb10,32,128,0.1,10,-0.1165
ewmac32_128_vt10_rb20,32,128,0.1,20,-0.1197
ewmac32_128_vt15_rb10,32,128,0.15,10,-0.1000
ewmac32_128_vt15_rb20,32,128,0.15,20,-0.1156
ewmac64_256_vt10_rb10,64,256,0.1,10,-0.1831
ewmac64_256_vt10_rb20,64,256,0.1,20,-0.1562
ewmac64_256_vt15_rb10,64,256,0.15,10,-0.1932
ewmac64_256_vt15_rb20,64,256,0.15,20,-0.1530
