config_id,n_states,feature_set,rebalance_cadence_days,feature_lookback,commission_bps,spread_bps,slippage_bps,tax_rate,is_sharpe,is_cagr,oos_sharpe,oos_cagr,oos_mdd,fwd_sharpe,fwd_cagr,median_hold_days
n2_sigma_rc10,2,sigma,10,20,0.0,2.0,1.0,0.15,0.3711650497555305,0.048694190720218966,0.5029269524871827,0.064713392365368,-0.21181686289030843,1.3787123292543297,0.2117641910811281,40.0
n2_sigma_rc21,2,sigma,21,20,0.0,2.0,1.0,0.15,0.5263419276630742,0.07591833729854702,0.6918139084479615,0.09469850538594327,-0.21181686289030777,1.206680077387003,0.18170436707094262,42.0
n2_sigma_rho_rc10,2,sigma_rho,10,20,0.0,2.0,1.0,0.15,0.33461273875326153,0.04269233492484581,0.49703759472490416,0.06298943879174757,-0.211816862890309,1.235453295613406,0.1851109751248392,30.0
n2_sigma_rho_rc21,2,sigma_rho,21,20,0.0,2.0,1.0,0.15,0.42534494326400746,0.059045367802548654,0.482699670040234,0.060764635548463675,-0.2118168628903082,1.0483422103233202,0.1533644160766514,42.0
n2_sigma_rho_skew_rc10,2,sigma_rho_skew,10,20,0.0,2.0,1.0,0.15,0.43478483149649216,0.059395810700792584,0.4699581487385021,0.060618958773064335,-0.23870458660211458,1.2947204665243977,0.19079505656609208,40.0
n2_sigma_rho_skew_rc21,2,sigma_rho_skew,21,20,0.0,2.0,1.0,0.15,0.38572881720640095,0.051881130040422274,0.538768845206185,0.07317705431416033,-0.2727543369799915,1.191571905559456,0.17794670517667344,42.0
n3_sigma_rc10,3,sigma,10,20,0.0,2.0,1.0,0.15,0.4325128240341055,0.04821739455333618,0.37287347186781683,0.040951175691785524,-0.2429197892167959,0.8542508694905796,0.10310408779542302,30.0
n3_sigma_rc21,3,sigma,21,20,0.0,2.0,1.0,0.15,0.3825209190987896,0.042417677001749476,0.2631019906247291,0.02660339129462863,-0.2590772103480853,0.7729708415285589,0.09307718804420584,42.0
n3_sigma_rho_rc10,3,sigma_rho,10,20,0.0,2.0,1.0,0.15,0.4380076142266913,0.04948331330445299,0.36493953037364396,0.03974158240765946,-0.2850835173782187,0.6923471851150848,0.09020331964798167,35.0
n3_sigma_rho_rc21,3,sigma_rho,21,20,0.0,2.0,1.0,0.15,0.42268722320325675,0.04831013686582497,0.337616261948615,0.03624958009675683,-0.2801494921901708,0.604158533983711,0.07561806325138543,42.0
n3_sigma_rho_skew_rc10,3,sigma_rho_skew,10,20,0.0,2.0,1.0,0.15,0.4380076142266913,0.04948331330445299,0.4004778122041029,0.0449801871438853,-0.28508351737822,0.6923471851150772,0.09020331964798034,40.0
n3_sigma_rho_skew_rc21,3,sigma_rho_skew,21,20,0.0,2.0,1.0,0.15,0.42268722320325675,0.04831013686582497,0.22243734333257859,0.020819994251494167,-0.30883272503349846,0.6041585339837128,0.07561806325138543,42.0
n4_sigma_rc10,4,sigma,10,20,0.0,2.0,1.0,0.15,0.3581285891076501,0.040926157518963224,0.1399510872670643,0.009845014321057999,-0.3357804040379687,0.11259143327195775,0.006337671496304598,40.0
n4_sigma_rc21,4,sigma,21,20,0.0,2.0,1.0,0.15,0.4405131911831552,0.0537219291457276,-0.030328099560168353,-0.016036442953352936,-0.3777197572789456,0.41502044160544616,0.04511011501976214,42.0
n4_sigma_rho_rc10,4,sigma_rho,10,20,0.0,2.0,1.0,0.15,0.28113395821563736,0.029382795104426984,0.12176119070408722,0.0073209373468203776,-0.3177040154100408,0.5666698302523232,0.06278543930415026,40.0
n4_sigma_rho_rc21,4,sigma_rho,21,20,0.0,2.0,1.0,0.15,0.3636851753216525,0.041084304395332394,0.2511940885408291,0.02648203476232136,-0.2550399135794904,0.6584357084804598,0.07265159246895436,42.0
n4_sigma_rho_skew_rc10,4,sigma_rho_skew,10,20,0.0,2.0,1.0,0.15,0.3285314411843279,0.03585371467803311,0.24355708488947853,0.024091363347383377,-0.26244691490824246,0.6666069910506681,0.07640372684436292,40.0
n4_sigma_rho_skew_rc21,4,sigma_rho_skew,21,20,0.0,2.0,1.0,0.15,0.4061025876530707,0.047104323809306736,0.25745673023326576,0.02715691727434444,-0.23478303370809783,0.6813361072018055,0.07638085308722031,63.0
