tag,n_estimators,max_depth,threshold,label_horizon,sharpe_full,oos_sharpe
n100_d3_t55_h5,100,3,0.55,5,0.7330,0.1982
n100_d3_t55_h10,100,3,0.55,10,0.7341,0.3282
n100_d3_t60_h5,100,3,0.6,5,0.6019,-0.1338
n100_d3_t60_h10,100,3,0.6,10,0.6610,0.2573
n100_d5_t55_h5,100,5,0.55,5,1.1589,0.3732
n100_d5_t55_h10,100,5,0.55,10,1.0027,0.3263
n100_d5_t60_h5,100,5,0.6,5,1.0407,-0.0392
n100_d5_t60_h10,100,5,0.6,10,1.0725,0.3686
n300_d3_t55_h5,300,3,0.55,5,0.9361,0.2313
n300_d3_t55_h10,300,3,0.55,10,0.8284,0.2289
n300_d3_t60_h5,300,3,0.6,5,0.8193,-0.1997
n300_d3_t60_h10,300,3,0.6,10,0.8799,0.2046
n300_d5_t55_h5,300,5,0.55,5,1.4444,0.2830
n300_d5_t55_h10,300,5,0.55,10,1.2288,0.1892
n300_d5_t60_h5,300,5,0.6,5,1.5436,0.0116
n300_d5_t60_h10,300,5,0.6,10,1.4751,0.4517
