tag,donchian_lookback,atr_multiplier,risk_per_position,rebalance_days,sharpe_full
don20_k2.0_r0050bp_rb1,20,2.0,0.005,1,0.0393
don20_k3.0_r0050bp_rb1,20,3.0,0.005,1,0.0098
don20_k4.0_r0050bp_rb1,20,4.0,0.005,1,0.0177
don50_k2.0_r0050bp_rb1,50,2.0,0.005,1,0.0335
don50_k3.0_r0050bp_rb1,50,3.0,0.005,1,0.0190
don50_k4.0_r0050bp_rb1,50,4.0,0.005,1,-0.0094
don80_k2.0_r0050bp_rb1,80,2.0,0.005,1,0.0374
don80_k3.0_r0050bp_rb1,80,3.0,0.005,1,0.0298
don80_k4.0_r0050bp_rb1,80,4.0,0.005,1,-0.0149
don120_k2.0_r0050bp_rb1,120,2.0,0.005,1,0.0742
don120_k3.0_r0050bp_rb1,120,3.0,0.005,1,0.0552
don120_k4.0_r0050bp_rb1,120,4.0,0.005,1,0.0440
