tag,ma_lookback_days,noise_band_scale,allow_short,min_bar_idx,sharpe_full,cagr_full
ma10_sc1.0_shrt1_mb1,10,1.0,1,1,-2.4091,-0.2850
ma10_sc1.0_shrt1_mb30,10,1.0,1,30,-1.8294,-0.2135
ma10_sc1.0_shrt0_mb1,10,1.0,0,1,-1.4758,-0.1474
ma10_sc1.0_shrt0_mb30,10,1.0,0,30,-1.0596,-0.1027
ma10_sc1.2_shrt1_mb1,10,1.2,1,1,-2.4477,-0.2887
ma10_sc1.2_shrt1_mb30,10,1.2,1,30,-1.7876,-0.2089
ma10_sc1.2_shrt0_mb1,10,1.2,0,1,-1.4801,-0.1477
ma10_sc1.2_shrt0_mb30,10,1.2,0,30,-1.0684,-0.1033
ma14_sc1.0_shrt1_mb1,14,1.0,1,1,-2.3806,-0.2828
ma14_sc1.0_shrt1_mb30,14,1.0,1,30,-1.8018,-0.2105
ma14_sc1.0_shrt0_mb1,14,1.0,0,1,-1.4618,-0.1463
ma14_sc1.0_shrt0_mb30,14,1.0,0,30,-1.0529,-0.1021
ma14_sc1.2_shrt1_mb1,14,1.2,1,1,-2.4365,-0.2879
ma14_sc1.2_shrt1_mb30,14,1.2,1,30,-1.7831,-0.2086
ma14_sc1.2_shrt0_mb1,14,1.2,0,1,-1.4597,-0.1459
ma14_sc1.2_shrt0_mb30,14,1.2,0,30,-1.0546,-0.1021
ma21_sc1.0_shrt1_mb1,21,1.0,1,1,-2.3876,-0.2835
ma21_sc1.0_shrt1_mb30,21,1.0,1,30,-1.7841,-0.2092
ma21_sc1.0_shrt0_mb1,21,1.0,0,1,-1.4667,-0.1469
ma21_sc1.0_shrt0_mb30,21,1.0,0,30,-1.0674,-0.1034
ma21_sc1.2_shrt1_mb1,21,1.2,1,1,-2.3874,-0.2825
ma21_sc1.2_shrt1_mb30,21,1.2,1,30,-1.7413,-0.2040
ma21_sc1.2_shrt0_mb1,21,1.2,0,1,-1.4130,-0.1415
ma21_sc1.2_shrt0_mb30,21,1.2,0,30,-1.0356,-0.1002
