date,leg,proceeds_usd,cost_basis_sold_usd,realized_gain_usd,tax_paid_usd
1987-08-11,SSO,17711.58,7850.5,9861.08,1479.16
1989-05-12,SSO,23155.48,5688.59,17466.89,2620.03
1989-05-12,QQQ,1697.7,741.4,956.31,143.45
1991-02-05,SSO,33704.46,4226.67,29477.78,4421.67
1991-02-05,QQQ,3980.44,1093.18,2887.26,433.09
1992-11-11,SSO,41101.49,3014.36,38087.13,5713.07
1992-11-11,QQQ,11490.26,2144.7,9345.56,1401.83
1995-05-03,SSO,76088.87,2924.36,73164.51,10974.68
1996-10-02,SSO,91141.47,1949.86,89191.61,13378.74
1996-10-02,QQQ,18735.22,2449.1,16286.12,2442.92
1997-06-19,SSO,140987.95,1784.19,139203.76,20880.56
1998-03-06,SSO,178744.57,1379.08,177365.48,26604.82
1999-01-05,SSO,143228.63,672.59,142556.04,21383.41
1999-01-05,QQQ,104936.04,10147.94,94788.1,14218.22
2000-03-23,SSO,345862.56,812.88,345049.68,51757.45
2000-03-23,QQQ,45903.91,2720.97,43182.94,6477.44
2003-04-15,SSO,618640.4,715.45,617924.94,92688.74
2004-12-21,SSO,950962.12,547.84,950414.27,142562.14
2007-04-26,SSO,1413778.12,410.15,1413367.98,212005.2
2009-08-03,SSO,2522194.65,323.28,2521871.37,378280.71
2010-12-22,SSO,3804292.15,241.04,3804051.11,570607.67
2012-09-13,SSO,5769651.81,183.2,5769468.61,865420.29
2013-12-20,SSO,7303078.34,141.58,7302936.76,1095440.51
2015-11-02,SSO,9879914.74,108.37,9879806.37,1481970.96
2017-09-27,SSO,14110085.86,83.23,14110002.63,2116500.39
2019-03-01,SSO,19618479.35,63.88,19618415.47,2942762.32
2020-08-25,SSO,35253390.25,49.0,35253341.25,5288001.19
2021-07-26,SSO,46610004.25,37.86,46609966.39,6991494.96
2023-07-13,SSO,70315882.1,28.96,70315853.14,10547377.97
2025-07-01,SSO,122581328.51,22.33,122581306.18,18387195.93
