date,leg,proceeds_usd,cost_basis_sold_usd,realized_gain_usd,tax_paid_usd
2006-10-13,SSO,6921.03,4371.78,2549.25,382.39
2007-04-12,SSO,7278.77,3785.04,3493.73,524.06
2009-04-21,SSO,10590.86,3308.21,7282.65,1092.4
2009-07-21,SSO,11922.52,2886.06,9036.46,1355.47
2010-01-04,SSO,14836.69,2543.87,12292.82,1843.92
2010-12-02,SSO,20111.09,2324.54,17786.55,2667.98
2011-11-03,SSO,22406.04,1901.11,20504.93,3075.74
2012-03-13,SSO,26068.4,1654.18,24414.23,3662.13
2013-03-05,SSO,30264.66,1430.38,28834.28,4325.14
2013-10-18,SSO,33229.87,1211.99,32017.88,4802.68
2014-10-24,SSO,39884.33,1066.34,38817.98,5822.7
2015-07-29,SSO,44139.4,924.37,43215.03,6482.25
2016-06-08,SSO,50048.24,778.52,49269.72,7390.46
2017-02-15,SSO,58663.91,677.93,57985.97,8697.9
2017-12-08,SSO,66082.21,588.24,65493.97,9824.1
2018-07-25,SSO,76939.09,516.32,76422.77,11463.41
2019-06-18,SSO,92422.27,452.96,91969.31,13795.4
2019-11-25,SSO,104207.58,383.09,103824.49,15573.67
2020-06-05,SSO,84923.99,232.98,84691.01,12703.65
2020-06-05,QQQ,45863.71,11859.22,34004.48,5100.67
2020-12-04,SSO,156099.38,309.04,155790.34,23368.55
2021-07-01,SSO,182859.44,265.56,182593.89,27389.08
2022-11-10,SSO,274404.68,278.66,274126.02,41118.9
2023-07-12,SSO,253200.28,180.82,253019.46,37952.92
2023-07-12,QQQ,12230.14,2348.74,9881.4,1482.21
2024-02-07,SSO,318330.46,171.07,318159.39,47723.91
2024-12-04,SSO,393145.45,143.02,393002.42,58950.36
2025-04-16,GLD,436098.43,209404.58,226693.85,34004.08
2025-07-03,SSO,366056.55,27959.65,338096.9,50714.54
2025-07-03,QQQ,113392.26,26418.11,86974.15,13046.12
2026-01-22,GLD,583078.09,233892.83,349185.26,52377.79
