broker,aporte_brl,horizon_y,patrimonio_usd,patrimonio_brl,total_aportado_brl,custo_fx_total_brl,retorno_total_pct
inter,2000,10,58342.736144542076,320885.04879498144,240000,3000.0,33.7021036645756
ibkr,2000,10,58744.48865672721,323094.6876119997,240000,1368.0000000000014,34.62278650499988
inter,5000,10,145856.84036135525,802212.6219874539,600000,7500.0,33.702103664575645
ibkr,5000,10,147348.6419691012,810417.5308300566,600000,1440.0,35.06958847167611
inter,10000,10,291713.6807227105,1604425.2439749078,1200000,15000.0,33.702103664575645
ibkr,10000,10,295022.23082305805,1622622.2695268192,1200000,1560.0,35.218522460568266
inter,13100,10,382144.9217467499,2101797.0696071247,1572000,19650.0,33.702103664575354
ibkr,13100,10,386579.8559125114,2126189.2075188127,1572000,1634.3999999999953,35.25376638160387
inter,2000,15,103027.45588903499,566651.0073896925,360000,4500.0,57.403057608247906
ibkr,2000,15,103736.91077515633,570553.0092633598,360000,2052.000000000007,58.48694701759995
inter,5000,15,257568.63972258658,1416627.5184742261,900000,11250.0,57.40305760824735
ibkr,5000,15,260203.0126453185,1431116.5695492518,900000,2160.0,59.01295217213909
inter,10000,15,515137.27944517316,2833255.0369484522,1800000,22500.0,57.40305760824735
ibkr,10000,15,520979.8490955886,2865389.1700257375,1800000,2340.0,59.18828722365208
inter,13100,15,674829.8360731767,3711564.0984024717,2358000,29475.0,57.40305760824731
ibkr,13100,15,682661.487694755,3754638.182321152,2358000,2451.599999999989,59.22977872439152
inter,2000,20,162825.69077900323,895541.2992845178,480000,6000.0,86.57110401760787
ibkr,2000,20,163946.9208522141,901708.0646871775,480000,2736.0000000000123,87.85584680982865
inter,5000,20,407064.2269475078,2238853.248211293,1200000,15000.0,86.57110401760775
ibkr,5000,20,411227.6180281858,2261751.8991550216,1200000,2880.0,88.47932492958515
inter,10000,20,814128.4538950156,4477706.496422586,2400000,30000.0,86.57110401760775
ibkr,10000,20,823362.1133214704,4528491.623268087,2400000,3120.0,88.68715096950363
inter,13100,20,1066508.2746024632,5865795.510313548,3144000,39300.0,86.5711040176065
ibkr,13100,20,1078885.5004032985,5933870.252218142,3144000,3268.7999999999824,88.73633117742183
inter,2000,25,242849.21820409145,1335670.7001225029,600000,7500.0,122.61178335375047
ibkr,2000,25,244521.49636488655,1344868.230006876,600000,3420.0000000000177,124.14470500114598
inter,5000,25,607123.0455102294,3339176.7503062617,1500000,18750.0,122.61178335375078
ibkr,5000,25,613332.6077984843,3373329.3428916633,1500000,3600.0,124.88862285944423
inter,10000,25,1214246.0910204588,6678353.500612523,3000000,37500.0,122.61178335375078
ibkr,10000,25,1228017.7935211447,6754097.864366296,3000000,3900.0,125.13659547887653
inter,13100,25,1590662.3792367843,8748643.085802313,3930000,49125.0,122.61178335374842
ibkr,13100,25,1609122.6086691793,8850174.347680487,3930000,4085.999999999976,125.19527602240426
inter,2000,30,349938.7494141182,1924663.12177765,720000,9000.0,167.31432246911803
ibkr,2000,30,352348.45422020927,1937916.498211151,720000,4104.000000000023,169.15506919599318
inter,5000,30,874846.8735353021,4811657.804444161,1800000,22500.0,167.31432246912007
ibkr,5000,30,883794.6744696818,4860870.70958325,1800000,4320.0,170.048372754625
inter,10000,30,1749693.7470706042,9623315.608888322,3600000,45000.0,167.31432246912007
ibkr,10000,30,1769538.3748854685,9732461.061870078,3600000,4680.0,170.34614060750215
inter,13100,30,2292098.8086624597,12606543.447643528,4716000,58950.0,167.31432246911635
ibkr,13100,30,2318699.4691432416,12752847.080287829,4716000,4903.19999999997,170.41660475589123
