portfolio,name,category,window,cagr,vol,sharpe,mdd,worst_12m,terminal_10k,n_months
P0_current,Current plan (Plano C as-is),baseline,real_2020_2026,0.12647478669830958,0.17295904809911425,0.5687673719052693,-0.24128204778052906,-0.1846404296094838,21050.345211924538,75
P0_current,Current plan (Plano C as-is),baseline,syn_2006_2026,0.07544422526689099,0.15123166723740256,0.38830768026991824,-0.4971379962603839,-0.4303875731255866,43353.332522775476,242
P0_current,Current plan (Plano C as-is),baseline,syn_long_1926,0.06385952651039206,0.12083644041676894,0.2680014959871183,-0.6128227255596433,-0.4303875731255866,4780433.276311594,1196
P1_user_sso,User proposal: 50% SSO + rest factor,user_idea,real_2020_2026,0.1449053262458473,0.25256474932860534,0.4624715170767452,-0.35838592447923767,-0.2824515794677538,23297.528332227444,75
P1_user_sso,User proposal: 50% SSO + rest factor,user_idea,syn_2006_2026,0.09438549017660436,0.22163754417451864,0.3504175390829406,-0.6854248698559956,-0.6101851809981012,61650.26033040384,242
P1_user_sso,User proposal: 50% SSO + rest factor,user_idea,syn_long_1926,0.07677059382845486,0.20842405379166928,0.21732335253775598,-0.8549127666899073,-0.6871727205945681,15907829.75575337,1196
P2_sso_100,100% SSO buy-and-hold,letf_raw,real_2020_2026,0.16767684368928615,0.34767529299043193,0.40145366392022563,-0.4621659275424959,-0.39740020808439636,26349.153862711562,75
P2_sso_100,100% SSO buy-and-hold,letf_raw,syn_2006_2026,0.12908852094515777,0.3067590263368987,0.36630939571168675,-0.814907586975685,-0.7440771460471951,115703.85814525907,242
P2_sso_100,100% SSO buy-and-hold,letf_raw,syn_long_1926,0.10612794590235564,0.37249797443829863,0.2004112003722629,-0.9846595715908256,-0.9184231042202551,232238750.75537145,1196
P3_upro_100,100% UPRO buy-and-hold,letf_raw,real_2020_2026,0.16922244246268625,0.5287533924658359,0.26689402093635767,-0.6314364778268138,-0.5744345697828066,26567.894760127117,75
P3_upro_100,100% UPRO buy-and-hold,letf_raw,syn_2006_2026,0.11949040690422907,0.46537876524320343,0.22083216339262693,-0.9443201236575527,-0.9037139633350684,97404.179095913,242
P3_upro_100,100% UPRO buy-and-hold,letf_raw,syn_long_1926,0.07919980490027201,0.5675060080254105,0.08409536554050967,-0.9991132498436911,-0.9835931506356935,19913695.516495366,1196
P4_hfea,HFEA 55/45 UPRO/TLT,letf_rotation,real_2020_2026,0.10360493901544499,0.3173704285224772,0.2379037514717861,-0.49199852622308893,-0.4482562781131054,18517.62229142764,75
P4_hfea,HFEA 55/45 UPRO/TLT,letf_rotation,syn_2006_2026,0.11215464005966491,0.2571605001949669,0.37110999787575366,-0.7339669652749996,-0.6627163522529868,85309.57115906,242
P4_hfea,HFEA 55/45 UPRO/TLT,letf_rotation,syn_long_1926,0.08817214057730305,0.3121199103606023,0.18165121476185067,-0.9587445182956255,-0.8482228612208771,45449358.17665811,1196
P5_ntsx_global,NTSX-family 60/30/10 global,efficient_core,real_2020_2026,0.08116773948497458,0.14519822282431288,0.3654756579592895,-0.3014359847724006,-0.260017182643384,16286.64913957214,75
P5_ntsx_global,NTSX-family 60/30/10 global,efficient_core,syn_2006_2026,0.08989403003864305,0.13996118771874347,0.5228179601269605,-0.45673952179575483,-0.4069218285002447,56743.5086932102,242
P5_ntsx_global,NTSX-family 60/30/10 global,efficient_core,syn_long_1926,0.013900624631361325,0.06357917199846866,-0.2764200055641125,-0.5492130407949355,-0.4069218285002447,39585.9067620068,1196
P6_return_stacked,Return Stacked aggressive,return_stacked,real_2020_2026,0.08545570043971429,0.10744079160359456,0.5338231049859105,-0.11557839294071207,-0.07949674134512519,16694.585797801235,75
P6_return_stacked,Return Stacked aggressive,return_stacked,syn_2006_2026,0.08406756355841938,0.11397929165701359,0.5908771251404088,-0.2996786723496158,-0.26120908164043644,50929.53680559147,242
P6_return_stacked,Return Stacked aggressive,return_stacked,syn_long_1926,0.03033752435866144,0.06166058586958972,-0.01845028447644604,-0.2996786723496159,-0.26120908164043644,196618.86453609637,1196
P7_stacked_factor,Stacked factor core,hybrid_best,real_2020_2026,0.09407856340378373,0.13772716031374108,0.47904305722813817,-0.2209146972600022,-0.18876274116068215,17540.952817612237,75
P7_stacked_factor,Stacked factor core,hybrid_best,syn_2006_2026,0.08521451125709456,0.136337647319441,0.5023902438189175,-0.43136756810698335,-0.37748038040481147,52027.279086793176,242
P7_stacked_factor,Stacked factor core,hybrid_best,syn_long_1926,0.04417006587501904,0.08258008080254604,0.15372818775067051,-0.4313675681069836,-0.37748038040481147,742791.2792093217,1196
