rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
1,EMA_N150_th5_bL3_sL0,EMA,150,0.05,3.0,0.0,0.27670974350973787,0.8433518671096548,0.5398373914171773,0.5125798025648453,1.1784359538004283,0.37346175800224085,25,0.2502874105580801,0.781552464060139,0.575551022210072,0.4348657215428018,1.0745758318484526,0.380193659650931,25,0.026422332951657745,0.9760416666666667,True,True,False,True,True,True,True,6
2,EMA_N150_th5_bL2_sL0,EMA,150,0.05,2.0,0.0,0.1923292415766995,0.8320202200606628,0.3904781772706746,0.4925479905715174,1.1618719598708318,0.2490177256991199,25,0.17205876303614365,0.7512377024622998,0.4501192285429218,0.38225152831865017,1.025370375673781,0.25548206231368475,25,0.02027047854055586,0.9682291666666668,True,True,False,True,True,True,True,6
3,EMA_N100_th5_bL3_sL0,EMA,100,0.05,3.0,0.0,0.2674114834118788,0.8344556884423305,0.6275702829883345,0.4261060325204238,1.1730382989861652,0.36438205522325995,32,0.23664125239131883,0.7603949080416721,0.6607679632394283,0.3581306382215934,1.049792012885742,0.37159031457651737,32,0.03077023102055998,0.9598958333333334,True,True,False,True,True,True,True,6
4,SMA_N200_th2_bL3_sL0,SMA,200,0.02,3.0,0.0,0.24709671569284297,0.7915244722309769,0.5756035213286743,0.4292828423329758,1.1062814262138925,0.36339397154626896,56,0.21417086711856403,0.7130117034800512,0.5863301465044307,0.36527350400691977,0.9823629307352008,0.36921961930554253,56,0.03292584857427894,0.9598958333333334,True,True,False,True,True,True,True,6
5,EMA_N100_th5_bL2_sL0,EMA,100,0.05,2.0,0.0,0.18554558495177997,0.8228512311521098,0.4762523148182948,0.3895951351387582,1.1559614097382118,0.24296736284606194,32,0.16244686138510822,0.7294830985131101,0.5134084071986322,0.31640865071042606,1.000098151738784,0.24957375216525746,32,0.023098723566671753,0.9583333333333335,True,True,False,True,True,True,True,6
6,SMA_N150_th5_bL3_sL0,SMA,150,0.05,3.0,0.0,0.2567977175414138,0.8039044407111787,0.6203411224075822,0.4139621061147228,1.1246475526909687,0.37093851518698007,31,0.2304151640420966,0.7417837489118094,0.6304917670966642,0.3654530892657483,1.0230466250810513,0.3767956213065047,31,0.026382553499317174,0.9578125000000001,True,True,False,True,True,True,True,6
7,SMA_N150_th5_bL2_sL0,SMA,150,0.05,2.0,0.0,0.17953829921834186,0.7922540279185106,0.44923352057004506,0.3996547252095539,1.1076373207925183,0.24733766845067767,31,0.15924980053629811,0.7123949648656536,0.4669820436416345,0.34101910920263906,0.9764515827295046,0.2528454301989748,31,0.020288498682043743,0.9557291666666667,True,True,False,True,True,True,True,6
8,SMA_N200_th2_bL2_sL0,SMA,200,0.02,2.0,0.0,0.1723946684307749,0.7784598993731179,0.42396636550785316,0.4066234551985507,1.0872579952478294,0.2423222329683376,56,0.14780080968230358,0.6818717773147159,0.4351829797678479,0.3396291136228471,0.9341843043672156,0.24761041306819193,56,0.02459385874847131,0.9484375,True,True,False,True,True,True,True,6
9,EMA_N150_th5_bL3_sL-1,EMA,150,0.05,3.0,-1.0,0.24450430076777052,0.7514912395394138,0.6226314857160353,0.3926950473546756,1.051967586224378,0.39729289963930964,25,0.21757427907211557,0.6931214019909303,0.6443084091837634,0.33768654261046765,0.9561871212368883,0.4036894711066928,25,0.02693002169565495,0.9463541666666668,True,True,False,True,True,True,True,6
10,EMA_N200_th2_bL3_sL0,EMA,200,0.02,3.0,0.0,0.21307164132094858,0.7104079187851533,0.6329379881188306,0.3366390473010218,0.988784926288674,0.36847663274642906,78,0.18029550913817638,0.6322369864335895,0.6670284784544616,0.27029656897997834,0.8662073298864318,0.3750838699553751,78,0.0327761321827722,0.9239583333333333,True,False,False,True,True,True,True,5
