symbol,status,bars,start,end
EURUSD,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
GBPUSD,ok,2606,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
USDJPY,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
USDCHF,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
USDCAD,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
AUDUSD,ok,2607,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
NZDUSD,ok,2605,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
XAUUSD,ok,2593,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
BTCUSD,ok,2987,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
ETHUSD,ok,2982,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00
