symbol,status,bars,start,end
EURUSD,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
GBPUSD,ok,13422,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
USDJPY,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
USDCHF,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
USDCAD,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
AUDUSD,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
NZDUSD,ok,13421,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
XAUUSD,ok,13323,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
BTCUSD,ok,17486,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
ETHUSD,ok,17473,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00
