base_rank,base_cfg_id,variant_idx,variant_id,stop_tag,stop_loss_pct,reentry_mode,reentry_param,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,avg_bars_stopped,longest_stop_bars,delta_cagr,delta_mdd,effectiveness,base_filter,base_lookback,base_threshold_pct,base_buy_leverage,base_sell_leverage
1,EMA_N150_th5_bL3_sL0,17,01_EMA_N150_th5_bL3_sL0_sl25_cool63,sl25_cool63,0.25,time_cooldown,63.0,0.2081822232146464,0.742874001426896,0.42402732071933924,0.49096417386850594,1.0316014854263218,0.32768845563985727,50,24,63.0,63,-0.06852752029509146,0.11581007069783811,1.6899790069615788,EMA,150,0.05,3.0,0.0
2,EMA_N150_th5_bL2_sL0,1,02_EMA_N150_th5_bL2_sL0_sl15_next,sl15_next,0.15,next_signal,63.0,0.07303546504962766,0.5483945787185941,0.2871298163547685,0.2543639179547531,0.7697208049013473,0.14887014028284595,26,13,551.1666666666666,1212,-0.11929377652707185,0.1033483609159061,0.8663348912627711,EMA,150,0.05,2.0,0.0
3,EMA_N100_th5_bL3_sL0,4,03_EMA_N100_th5_bL3_sL0_sl15_cool126,sl15_cool126,0.15,time_cooldown,126.0,0.0539372410386445,0.34439417114480014,0.5068325136176168,0.10642024651034486,0.4661288494597018,0.23128742654649956,81,41,126.0,126,-0.2134742423732343,0.12073776937071767,0.5655847189265206,EMA,100,0.05,3.0,0.0
4,SMA_N200_th2_bL3_sL0,17,04_SMA_N200_th2_bL3_sL0_sl25_cool63,sl25_cool63,0.25,time_cooldown,63.0,0.20415365691469578,0.7389142564735354,0.4965428252653908,0.4111501496483819,1.0277947248878545,0.32265918016180695,64,25,63.0,63,-0.04294305877814719,0.07906069606328353,1.8410587953626592,SMA,200,0.02,3.0,0.0
5,EMA_N100_th5_bL2_sL0,16,05_EMA_N100_th5_bL2_sL0_sl25_cool21,sl25_cool21,0.25,time_cooldown,21.0,0.18436042175455647,0.8315890445707229,0.3791229044855552,0.48628141315999207,1.1678109433490371,0.2376836014502375,42,6,21.0,21,-0.0011851631972235044,0.09712941033273959,81.95446041548183,EMA,100,0.05,2.0,0.0
6,SMA_N150_th5_bL3_sL0,8,06_SMA_N150_th5_bL3_sL0_sl20_next,sl20_next,0.2,next_signal,126.0,0.07085462021510369,0.4308161831130949,0.5124642339640517,0.13826256647614943,0.6034889260412859,0.21106470952923775,31,15,467.0,1193,-0.1859430973263101,0.1078768884435305,0.5801607588272997,SMA,150,0.05,3.0,0.0
7,SMA_N150_th5_bL2_sL0,1,07_SMA_N150_th5_bL2_sL0_sl15_next,sl15_next,0.15,next_signal,63.0,0.0665675266635326,0.49508900373003467,0.3741104662758417,0.17793548340465454,0.6959205334350731,0.1543531225677047,31,15,437.2,1193,-0.11297077255480925,0.07512305429420335,0.6649777866904152,SMA,150,0.05,2.0,0.0
8,SMA_N200_th2_bL2_sL0,3,08_SMA_N200_th2_bL2_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.14754648171216123,0.763412654402676,0.3309710467597415,0.4457987584009672,1.0674002071560142,0.2091183977612431,69,29,63.0,63,-0.024848186718613663,0.09299531874811168,3.7425394376342687,SMA,200,0.02,2.0,0.0
9,EMA_N150_th5_bL3_sL-1,22,09_EMA_N150_th5_bL3_sL-1_sl30_next,sl30_next,0.3,next_signal,63.0,0.2442295460561148,0.7754521258905961,0.5191528657104703,0.4704385975446407,1.0894452400458554,0.37175306598127794,25,12,211.91666666666666,891,-0.0002747547116557225,0.10347862000556507,103.47862000556506,EMA,150,0.05,3.0,-1.0
10,EMA_N200_th2_bL3_sL0,10,10_EMA_N200_th2_bL3_sL0_sl20_cool63,sl20_cool63,0.2,time_cooldown,63.0,0.1460931909174299,0.5964397832115045,0.5603351880159173,0.26072464132536305,0.8235677129811471,0.3101699369392288,93,38,63.0,63,-0.06697845040351869,0.07260280010291331,1.083972526469486,EMA,200,0.02,3.0,0.0
