base_rank,base_cfg_id,variant_idx,variant_id,stop_tag,stop_loss_pct,reentry_mode,reentry_param,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,avg_bars_stopped,longest_stop_bars,delta_cagr,delta_mdd,effectiveness,base_filter,base_lookback,base_threshold_pct,base_buy_leverage,base_sell_leverage
1,SMA_N150_th0_bL2_sL0,3,01_SMA_N150_th0_bL2_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.17811415913049866,0.8237201482332261,0.29932198544019545,0.5950587253674551,1.1358798812378403,0.2319030751072418,64,18,63.0,63,-0.07512598252129399,0.10597567822412485,1.410639497381438,SMA,150,0.0,2.0,0.0
2,SMA_N150_th0_bL3_sL0,3,02_SMA_N150_th0_bL3_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.20665095714634152,0.7637902281207851,0.44388819220185405,0.46554731749288997,1.0598797653417982,0.3093282798232098,71,27,63.0,63,-0.15092147683095392,0.10688108125910356,0.7081900038575709,SMA,150,0.0,3.0,0.0
3,EMA_N150_th5_bL2_sL0,35,03_EMA_N150_th5_bL2_sL0_sl35_rec15,sl35_rec15,0.35,recovery_trigger,0.15,0.19042332052860167,0.7400963779921839,0.3759392907549857,0.506526785604615,1.0112595543849625,0.2948104323885453,22,4,50.25,61,-0.0478110808855412,0.03851755815745117,0.80561989907029,EMA,150,0.05,2.0,0.0
4,EMA_N150_th0_bL2_sL0,23,04_EMA_N150_th0_bL2_sL0_sl30_cool21,sl30_cool21,0.3,time_cooldown,21.0,0.2475547666108664,0.9010109375289239,0.3463914549550442,0.7146676486086958,1.2517494250875743,0.29374483803990126,110,5,21.0,21,0.016455630783255515,0.06405070939661223,3.8923278141234947,EMA,150,0.0,2.0,0.0
5,EMA_N150_th0_bL3_sL0,3,05_EMA_N150_th0_bL3_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.25575423809280196,0.8737225679193794,0.44200223265952326,0.5786265751508338,1.2234325228367111,0.31984888990503463,68,26,63.0,63,-0.06689040119320633,0.11133489579801154,1.6644375547461834,EMA,150,0.0,3.0,0.0
6,EMA_N150_th5_bL3_sL0,1,06_EMA_N150_th5_bL3_sL0_sl15_next,sl15_next,0.15,next_signal,21.0,0.1454608908909687,0.7455972303685989,0.37839307429448693,0.3844174240297083,1.0439887696065904,0.2129316457370739,16,8,380.625,988,-0.17907468297717521,0.1843975683118773,1.029724387871068,EMA,150,0.05,3.0,0.0
7,SMA_N150_th2_bL2_sL0,9,07_SMA_N150_th2_bL2_sL0_sl20_cool21,sl20_cool21,0.2,time_cooldown,21.0,0.19015582934727115,0.7658214845094761,0.3425840535365365,0.5550632826725868,1.0556121512334005,0.2782633176670778,50,16,21.0,21,-0.029099547537756898,0.06448358042855418,2.215965053920038,SMA,150,0.02,2.0,0.0
8,SMA_N150_th2_bL3_sL0,1,08_SMA_N150_th2_bL3_sL0_sl15_next,sl15_next,0.15,next_signal,21.0,0.16179240411549967,0.7044378016485601,0.4135172275571444,0.39125916245688075,0.9835910346754441,0.26227811893057684,36,17,153.0,588,-0.135692942962935,0.1394399939801173,1.0276141922738447,SMA,150,0.02,3.0,0.0
9,SMA_N200_th0_bL2_sL0,17,09_SMA_N200_th0_bL2_sL0_sl25_cool63,sl25_cool63,0.25,time_cooldown,63.0,0.22586979049905165,0.8620151561085259,0.32357697007101294,0.6980403779956335,1.194073223507504,0.2831224434334222,62,6,63.0,63,0.008827800803805408,0.10359171134084855,11.7347132817262,SMA,200,0.0,2.0,0.0
10,EMA_N150_th2_bL2_sL0,18,10_EMA_N150_th2_bL2_sL0_sl25_cool126,sl25_cool126,0.25,time_cooldown,126.0,0.1917676564386923,0.7905797982116871,0.39519110105802385,0.48525297236016474,1.0949901085993863,0.2674932103989492,30,6,126.0,126,-0.02389039002474136,0.040139816891693936,1.680165826096784,EMA,150,0.02,2.0,0.0
11,SMA_N200_th0_bL3_sL0,3,11_SMA_N200_th0_bL3_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.21291662097434982,0.7761353235041163,0.42131381522821726,0.5053634921964691,1.0740443093072256,0.3123084891435109,63,26,63.0,63,-0.08292390321583998,0.14828532542442446,1.788209667825902,SMA,200,0.0,3.0,0.0
12,SMA_N150_th0_bL1_sL0,7,12_SMA_N150_th0_bL1_sL0_sl15_rec15,sl15_rec15,0.15,recovery_trigger,0.15,0.13105113862591833,0.9341669040059591,0.1856286373003808,0.7059855662995242,1.2974683050326892,0.14277463964790452,82,3,106.0,220,-0.007431600760062329,0.03780485247269991,5.087040288259892,SMA,150,0.0,1.0,0.0
13,EMA_N100_th0_bL3_sL0,3,13_EMA_N100_th0_bL3_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.19818755712918845,0.7323466400563892,0.3617242556530917,0.5478967861067586,1.0224791671885178,0.315616249631461,90,29,63.0,63,-0.06726307735945469,0.11233721818120629,1.6701171369379197,EMA,100,0.0,3.0,0.0
14,EMA_N150_th2_bL3_sL0,1,14_EMA_N150_th2_bL3_sL0_sl15_next,sl15_next,0.15,next_signal,63.0,0.1964410726020449,0.7864226079325243,0.4470538595352795,0.4394125414916425,1.118194600254108,0.27739700686817254,40,19,128.52631578947367,585,-0.09534788440204855,0.14229243104536887,1.492350165268184,EMA,150,0.02,3.0,0.0
15,EMA_N150_th5_bL1_sL0,14,15_EMA_N150_th5_bL1_sL0_sl20_rec15,sl20_rec15,0.2,recovery_trigger,0.15,0.11993608023969138,0.8298549359131199,0.2201468728001382,0.5448002904341782,1.1410203423907999,0.15012990552057612,20,3,45.666666666666664,60,-0.017063627459061426,0.010988014274419922,0.6439436339536864,EMA,150,0.05,1.0,0.0
16,EMA_N200_th2_bL2_sL0,3,16_EMA_N200_th2_bL2_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.13158106990321627,0.6429493647678964,0.38005453251446275,0.3462162891011148,0.8675425509260021,0.2360025443839518,46,20,63.0,63,-0.08400265914531002,0.08101985413659546,0.964491540636174,EMA,200,0.02,2.0,0.0
17,EMA_N150_th0_bL1_sL0,15,17_EMA_N150_th0_bL1_sL0_sl25_next,sl25_next,0.25,next_signal,21.0,0.12801407665311682,0.8734822358742804,0.22851260583134075,0.5602057540212932,1.2116056301943945,0.15100399048931631,114,0,6.5,0,0.0,0.0,0.0,EMA,150,0.0,1.0,0.0
18,EMA_N200_th2_bL3_sL0,1,18_EMA_N200_th2_bL3_sL0_sl15_next,sl15_next,0.15,next_signal,63.0,0.20204228785889744,0.8320513890533192,0.44926905080706003,0.44971334547962244,1.1952621359743028,0.26307967057468074,34,17,150.64705882352942,583,-0.08746495231072537,0.1618105516305418,1.8500044572790537,EMA,200,0.02,3.0,0.0
19,SMA_N150_th0_bL3_sL-1,2,19_SMA_N150_th0_bL3_sL-1_sl15_cool21,sl15_cool21,0.15,time_cooldown,21.0,0.15361705878410659,0.5602044581950255,0.4893547657943815,0.313917569668983,0.7782114750451486,0.3970406480225395,104,45,21.0,21,-0.13629540263503492,0.12634807147215138,0.9270163852149876,SMA,150,0.0,3.0,-1.0
20,SMA_N150_th2_bL1_sL0,1,20_SMA_N150_th2_bL1_sL0_sl15_next,sl15_next,0.15,next_signal,0.1,0.11275148867503226,0.835332498197571,0.21242070941405072,0.5307932968779279,1.1481831582748978,0.13960595126744246,36,6,88.0,192,-0.013605401034227915,0.01544547861539855,1.1352461111981516,SMA,150,0.02,1.0,0.0
