base_rank,base_cfg_id,variant_idx,variant_id,stop_tag,stop_loss_pct,reentry_mode,reentry_param,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,avg_bars_stopped,longest_stop_bars,delta_cagr,delta_mdd,effectiveness,base_filter,base_lookback,base_threshold_pct,base_buy_leverage,base_sell_leverage
1,SMA_N150_th0_bL2_sL0,0,01_SMA_N150_th0_bL2_sL0_baseline,baseline,,—,,0.25324014165179265,0.9099415195110357,0.4052976636643203,0.6248250714357282,1.267001543009164,0.29690855340239214,98,0,,0,0.0,0.0,0.0,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,1,01_SMA_N150_th0_bL2_sL0_sl15_next,sl15_next,0.15,next_signal,,0.2012891480768575,0.8739565903916208,0.3811519024152658,0.5281074206932661,1.2132084833071235,0.2442506300034868,94,15,58.93333333333333,392,-0.051950993574935156,0.024145761249054487,0.464779585287934,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,2,01_SMA_N150_th0_bL2_sL0_sl15_cool21,sl15_cool21,0.15,time_cooldown,21.0,0.20458281757791963,0.8340247213735889,0.3375060464738832,0.6061604516876429,1.1594535258867396,0.26584486655588035,94,22,21.0,21,-0.04865732407387302,0.06779161719043708,1.39324589834644,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,3,01_SMA_N150_th0_bL2_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.17811415913049866,0.8237201482332261,0.29932198544019545,0.5950587253674551,1.1358798812378403,0.2319030751072418,64,18,63.0,63,-0.07512598252129399,0.10597567822412485,1.410639497381438,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,4,01_SMA_N150_th0_bL2_sL0_sl15_cool126,sl15_cool126,0.15,time_cooldown,126.0,0.07116849033841,0.4400575874479323,0.3899579012888383,0.18250300892274046,0.5952072265056347,0.2037964365729696,59,15,126.0,126,-0.18207165131338265,0.015339762375482013,0.08425123990927691,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,5,01_SMA_N150_th0_bL2_sL0_sl15_rec5,sl15_rec5,0.15,recovery_trigger,0.05,0.2221346408607563,0.8609114281980748,0.4088934963710594,0.5432579457296511,1.1915421108876998,0.27841823338802285,98,23,11.173913043478262,30,-0.031105500791036356,-0.003595832706739077,-0.11560118356221048,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,6,01_SMA_N150_th0_bL2_sL0_sl15_rec10,sl15_rec10,0.15,recovery_trigger,0.1,0.17409672777995944,0.7531795402778424,0.37935898122358974,0.4589234376853961,1.0380633788073448,0.25741681690909035,72,21,34.95238095238095,96,-0.07914341387183321,0.025938682440730554,0.327742779490613,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,7,01_SMA_N150_th0_bL2_sL0_sl15_rec15,sl15_rec15,0.15,recovery_trigger,0.15,0.1344374437286895,0.6444341275365693,0.4204657465928421,0.31973459150495787,0.8855951825927464,0.2412043886950038,62,18,65.61111111111111,148,-0.11880269792310316,-0.015168082928521787,-0.12767456626565465,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,8,01_SMA_N150_th0_bL2_sL0_sl20_next,sl20_next,0.2,next_signal,,0.19428215365533763,0.8263706959401349,0.3690564594977105,0.5264293542504515,1.1502335809200326,0.2542430305594571,90,10,80.1,392,-0.05895798799645502,0.03624120416660981,0.6146954025769823,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,9,01_SMA_N150_th0_bL2_sL0_sl20_cool21,sl20_cool21,0.2,time_cooldown,21.0,0.21905302517308956,0.8486626997231641,0.32610506066573103,0.6717253167611111,1.1795823037769613,0.279883453560863,88,14,21.0,21,-0.034187116478703095,0.07919260299858927,2.3164458180590457,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,10,01_SMA_N150_th0_bL2_sL0_sl20_cool63,sl20_cool63,0.2,time_cooldown,63.0,0.13743423947313493,0.6315519999109015,0.494019697463129,0.27819586987903916,0.8643266663489917,0.2563232418393178,81,14,63.0,63,-0.11580590217865772,-0.08872203379880872,-0.7661270464603281,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,11,01_SMA_N150_th0_bL2_sL0_sl20_cool126,sl20_cool126,0.2,time_cooldown,126.0,0.07094820762932064,0.41341637356502253,0.5856386195232558,0.12114673668050895,0.5601351493763648,0.23064109292854687,77,12,126.0,126,-0.182291934022472,-0.1803409558589355,-0.9892975069138495,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,12,01_SMA_N150_th0_bL2_sL0_sl20_rec5,sl20_rec5,0.2,recovery_trigger,0.05,0.21943113010491544,0.8312041706825141,0.4634762585095313,0.47344632238676554,1.146199382844846,0.2895486278815284,94,15,10.266666666666667,20,-0.03380901154687721,-0.058178594845210985,-1.7208014130949856,SMA,150,0.0,2.0,0.0
1,SMA_N150_th0_bL2_sL0,13,01_SMA_N150_th0_bL2_sL0_sl20_rec10,sl20_rec10,0.2,recovery_trigger,0.1,0.18859876878930426,0.7645600435654908,0.38432157431535857,0.49073167210370505,1.0551400502136206,0.27626644074437934,84,14,33.642857142857146,85,-0.06464137286248839,0.020976089348961724,0.3244994408392929,SMA,150,0.0,2.0,0.0
