base_rank,base_cfg_id,variant_idx,variant_id,stop_tag,stop_loss_pct,reentry_mode,reentry_param,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,avg_bars_stopped,longest_stop_bars,delta_cagr,delta_mdd,effectiveness,base_filter,base_lookback,base_threshold_pct,base_buy_leverage,base_sell_leverage
1,EMA_N150_th5_bL2_sL0,6,01_EMA_N150_th5_bL2_sL0_sl15_rec10,sl15_rec10,0.15,recovery_trigger,0.1,0.11966567338311984,0.6648236688667116,0.3262685047582431,0.366770532974947,0.8996122482811982,0.20049521415637597,29,14,45.285714285714285,113,-0.03133150369006965,0.0648114246815158,2.068570513647496,EMA,150,0.05,2.0,0.0
2,SMA_N150_th2_bL2_sL0,3,02_SMA_N150_th2_bL2_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.1391416748080534,0.7393198423098631,0.3024595977418534,0.460033921379508,1.0076102714611446,0.20479809468643312,38,13,63.0,63,-0.011812072855180267,0.13182338459953757,11.160055158458112,SMA,150,0.02,2.0,0.0
3,EMA_N150_th5_bL1_sL0,2,03_EMA_N150_th5_bL1_sL0_sl15_cool21,sl15_cool21,0.15,time_cooldown,21.0,0.0872587051649818,0.7582150256654504,0.2115073033118534,0.412556464002213,1.0284092034392878,0.1198495352325932,19,3,21.0,21,-0.0047788576054390575,8.326672684688674e-17,1.7423981570850052e-14,EMA,150,0.05,1.0,0.0
4,EMA_N150_th5_bL3_sL0,3,04_EMA_N150_th5_bL3_sL0_sl15_cool63,sl15_cool63,0.15,time_cooldown,63.0,0.05857113976823891,0.3541345984172522,0.43090699010753775,0.1359252486334042,0.47132816277174144,0.25090833268728263,50,25,63.0,63,-0.1439191438607368,0.11142918165580806,0.7742485027817592,EMA,150,0.05,3.0,0.0
5,SMA_N150_th2_bL3_sL0,17,05_SMA_N150_th2_bL3_sL0_sl25_cool63,sl25_cool63,0.25,time_cooldown,63.0,0.14500997841416408,0.5882828220964395,0.475470778898245,0.30498189341977944,0.7934332383342365,0.3164436425949093,38,12,63.0,63,-0.058608951945267274,0.1066378212126951,1.8194800908960156,SMA,150,0.02,3.0,0.0
6,SMA_N150_th2_bL1_sL0,4,06_SMA_N150_th2_bL1_sL0_sl15_cool126,sl15_cool126,0.15,time_cooldown,126.0,0.09344178991755281,0.8526887152790587,0.19257116311693495,0.48523251563273867,1.171300894747421,0.11215950519549203,30,2,126.0,126,0.0034870831450615203,0.04807853780716104,13.787608670946335,SMA,150,0.02,1.0,0.0
7,SMA_N200_th2_bL2_sL0,9,07_SMA_N200_th2_bL2_sL0_sl20_cool21,sl20_cool21,0.2,time_cooldown,21.0,0.16463349133782756,0.7841787950439354,0.27393199144912794,0.6010013305379184,1.0762330838511494,0.22765795626179033,24,7,21.0,21,0.027362129736770102,0.14736726878333106,5.385811345865166,SMA,200,0.02,2.0,0.0
8,EMA_N100_th5_bL2_sL0,25,08_EMA_N100_th5_bL2_sL0_sl30_cool126,sl30_cool126,0.3,time_cooldown,126.0,0.14769839489666592,0.7238102035452364,0.3692083952953688,0.4000407270763883,0.9817087752303854,0.22587440573438597,20,2,126.0,126,0.00273120176347863,0.12785198788120888,46.81162321686867,EMA,100,0.05,2.0,0.0
9,SMA_N100_th0_bL3_sL0,1,09_SMA_N100_th0_bL3_sL0_sl15_next,sl15_next,0.15,next_signal,0.1,0.15139744959802992,0.6330494834532466,0.4359211867125851,0.34730463719775667,0.8730885874075502,0.28961153631092607,156,32,31.1875,155,-0.02532259815566107,0.06632924179013949,2.6193695205525764,SMA,100,0.0,3.0,0.0
10,SMA_N200_th0_bL2_sL0,2,10_SMA_N200_th0_bL2_sL0_sl15_cool21,sl15_cool21,0.15,time_cooldown,21.0,0.14216879967710017,0.7239698523401479,0.3375709448207536,0.4211523588103538,0.9898878013707438,0.21610401489611422,74,15,21.0,21,0.009653032425613217,0.052073001536354746,5.3944707984389435,SMA,200,0.0,2.0,0.0
