base_rank,base_cfg_id,indicator,lambda_de_lever,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,mean_position,delta_cagr,delta_mdd,effectiveness
1,EMA_N150_th5_bL3_sL0,ebp,0.0,0.27670974350973787,0.8433518671096548,0.5398373914171773,0.5125798025648453,1.1784359538004283,0.37346175800224085,25,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL3_sL0,ebp,0.3,0.2751642962575176,0.863146361977596,0.5276560892211776,0.5214841672037959,1.2052806710996307,0.35602005723753066,25,0.966694408887152,-0.0015454472522202778,0.012181302195999777,7.8820562646181695
1,EMA_N150_th5_bL3_sL0,ebp,0.5,0.2732167052426806,0.8735009289638527,0.5196994688090572,0.5257205782195309,1.219357345371797,0.3459518336338179,25,0.9444906814785865,-0.003493038267057269,0.020137922608120196,5.7651594596143685
1,EMA_N150_th5_bL3_sL0,ebp,0.7,0.2705434949898122,0.8808570217128467,0.5189692428026424,0.5213093044373278,1.229418878139074,0.33726367797859563,25,0.9222869540700213,-0.006166248519925643,0.020868148614534898,3.3842535776982503
1,EMA_N150_th5_bL3_sL0,term_spread,0.0,0.27670974350973787,0.8433518671096548,0.5398373914171773,0.5125798025648453,1.1784359538004283,0.37346175800224085,25,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL3_sL0,term_spread,0.3,0.2507643849300616,0.8331605037617188,0.5189692428026424,0.48319700715948627,1.1662787230848821,0.33779602766202754,25,0.9008603252636177,-0.02594535857967628,0.020868148614534898,0.8043114359144568
1,EMA_N150_th5_bL3_sL0,term_spread,0.5,0.23182948315937235,0.8185265279642705,0.5189692428026424,0.44671141185053664,1.1473032444419642,0.31653309311006844,25,0.8347672087726962,-0.04488026035036552,0.020868148614534898,0.46497387607879465
1,EMA_N150_th5_bL3_sL0,term_spread,0.7,0.211677821883953,0.7949988399005298,0.5189692428026424,0.407881246951761,1.115827914457301,0.29779057140809134,25,0.7686740922817746,-0.06503192162578486,0.020868148614534898,0.3208908501061542
1,EMA_N150_th5_bL3_sL0,cape,0.0,0.27670974350973787,0.8433518671096548,0.5398373914171773,0.5125798025648453,1.1784359538004283,0.37346175800224085,25,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL3_sL0,cape,0.3,0.2605098108828443,0.867282851476075,0.5189692428026424,0.501975433989087,1.2144706256564235,0.3306937115969175,25,0.9067081120612062,-0.016199932626893565,0.020868148614534898,1.2881626791392706
1,EMA_N150_th5_bL3_sL0,cape,0.5,0.24674980339608465,0.874109117970423,0.5189692428026424,0.4754613241885715,1.226304828110809,0.3066381406520731,25,0.8445135201020102,-0.029959940113653216,0.020868148614534898,0.6965350576593761
1,EMA_N150_th5_bL3_sL0,cape,0.7,0.23074336866444733,0.8678729067367834,0.5189692428026424,0.44461858166842494,1.2201662994800067,0.2872141787456057,25,0.7823189281428145,-0.045966374845290536,0.020868148614534898,0.45398726100918385
1,EMA_N150_th5_bL3_sL0,vix,0.0,0.27670974350973787,0.8433518671096548,0.5398373914171773,0.5125798025648453,1.1784359538004283,0.37346175800224085,25,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL3_sL0,vix,0.3,0.261215539593491,0.8509324921860775,0.5189692428026424,0.5033353001476968,1.1903453337273127,0.34230587129592516,25,0.956825241564015,-0.015494203916246896,0.020868148614534898,1.3468358056558813
