base_rank,base_cfg_id,indicator,lambda_de_lever,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,mean_position,delta_cagr,delta_mdd,effectiveness
1,EMA_N150_th5_bL2_sL0,ebp,0.0,0.1509971770731895,0.7067148737997075,0.3910799294397589,0.3861031101480977,0.9572699125507133,0.24027052938645124,15,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL2_sL0,ebp,0.3,0.15040321540329615,0.7209505042894858,0.37796178574801687,0.3979323335708028,0.9792039569128649,0.2320550974585276,15,0.9695866664352211,-0.0005939616698933392,0.013118143691742024,13.118143691742024
1,EMA_N150_th5_bL2_sL0,ebp,0.5,0.14984042502174377,0.7296018106282808,0.3694316060848377,0.405597200006038,0.9925662207629306,0.22701683609410475,15,0.9493111107253688,-0.0011567520514457197,0.021648323354921173,18.714748184682183
1,EMA_N150_th5_bL2_sL0,ebp,0.7,0.14914603344701294,0.7373867392324681,0.3610762132688019,0.41305970309371143,1.00458944643189,0.222357605657135,15,0.9290355550155162,-0.0018511436261765546,0.030003716170956984,16.208205428623696
1,EMA_N150_th5_bL2_sL0,term_spread,0.0,0.1509971770731895,0.7067148737997075,0.3910799294397589,0.3861031101480977,0.9572699125507133,0.24027052938645124,15,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL2_sL0,term_spread,0.3,0.13779924619520512,0.7014000564734114,0.3317896996826677,0.41532104922786905,0.9520729398582957,0.2183466181607207,15,0.9010339581806037,-0.013197930877984376,0.059290229757091195,4.4923882618595865
1,EMA_N150_th5_bL2_sL0,term_spread,0.5,0.1283501684202304,0.6911550764990336,0.293497402151341,0.4373127921386065,0.9398855510451103,0.20551882509292194,15,0.8350565969676729,-0.0226470086529591,0.09758252728841788,4.30884841277559
1,EMA_N150_th5_bL2_sL0,term_spread,0.7,0.11840039643527289,0.6733756589078715,0.2713468332731452,0.4363433875643863,0.9177087848967271,0.19445672934160352,15,0.769079235754742,-0.0325967806379166,0.1197330961666137,3.673157097831314
1,EMA_N150_th5_bL2_sL0,cape,0.0,0.1509971770731895,0.7067148737997075,0.3910799294397589,0.3861031101480977,0.9572699125507133,0.24027052938645124,15,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL2_sL0,cape,0.3,0.13737168838160452,0.7049683782853624,0.3537143318449188,0.388369019895505,0.9566481388122212,0.21598980090330067,15,0.880196056986606,-0.013625488691584975,0.037365597594840094,2.742330821346384
1,EMA_N150_th5_bL2_sL0,cape,0.5,0.1274769111166265,0.6957142138256225,0.327975701783128,0.3886779124903584,0.9457384018778723,0.20205824760506444,15,0.8003267616443434,-0.02352026595656298,0.06310422765663087,2.6829725383705783
1,EMA_N150_th5_bL2_sL0,cape,0.7,0.11695793309847602,0.6769049163389598,0.3015686321406546,0.38783189175963656,0.9222049985843519,0.19040135029180957,15,0.7204574663020807,-0.03403924397471347,0.08951129729910429,2.629649981815078
1,EMA_N150_th5_bL2_sL0,vix,0.0,0.1509971770731895,0.7067148737997075,0.3910799294397589,0.3861031101480977,0.9572699125507133,0.24027052938645124,15,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL2_sL0,vix,0.3,0.14507026058273786,0.7200629107683577,0.33532113266869656,0.43263083190784146,0.9799306471713386,0.22290297392772726,15,0.9676418367968401,-0.005926916490451628,0.055758796771062324,9.407724380947627
1,EMA_N150_th5_bL2_sL0,vix,0.5,0.14054413465636695,0.7250031150781282,0.32752264583036866,0.42911272379363324,0.9895423650751897,0.21283370962732975,15,0.9460697279947337,-0.010453042416822544,0.06355728360939022,6.0802664980202
1,EMA_N150_th5_bL2_sL0,vix,0.7,0.13557353828295038,0.7253580970867929,0.3197051693756478,0.42405801115981934,0.9925024989568524,0.2041833424296241,15,0.9244976191926272,-0.015423638790239114,0.07137476006411109,4.6276213437571405
1,EMA_N150_th5_bL2_sL0,composite,0.0,0.1509971770731895,0.7067148737997075,0.3910799294397589,0.3861031101480977,0.9572699125507133,0.24027052938645124,15,1.0,0.0,0.0,0.0
1,EMA_N150_th5_bL2_sL0,composite,0.3,0.14282738791928917,0.7142872584512896,0.3429148113785321,0.41650982453956137,0.9702892565304398,0.22157969305509023,15,0.9295508653639352,-0.00816978915390032,0.04816511806122681,5.895515435454342
1,EMA_N150_th5_bL2_sL0,composite,0.5,0.13704621786995275,0.7182152356797888,0.3094905283151457,0.4428123167969857,0.9776932919877969,0.20966428133489337,15,0.8825847756065587,-0.013950959203236746,0.08158940112461321,5.8483004599198996
1,EMA_N150_th5_bL2_sL0,composite,0.7,0.13100430247797012,0.7206912461719617,0.2884440714893499,0.4541757499176305,0.9833018356956689,0.1982771564707661,15,0.8356186858491821,-0.019992874595219368,0.10263585795040897,5.133621854205544
2,SMA_N150_th2_bL2_sL0,ebp,0.0,0.15095374766323366,0.725816976251326,0.43428298234139096,0.3475930529199704,0.9926179126639857,0.23061341306891905,34,1.0,0.0,0.0,0.0
