base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
1,EMA_N150_th5_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.18776054604207904,0.7387026176238229,0.5113440154017973,0.36719026797359305,1.027272276434662,0.2906325328403894,76,34,0.8172828911217089,-0.08894919746765884,0.028493376015380045,0.3203331432612418
1,EMA_N150_th5_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.21517869432181347,0.8314560658474345,0.5417241589583045,0.3972108143295403,1.165058568733434,0.28301009763682183,62,28,0.7876695881965851,-0.0615310491879244,-0.0018867675411271545,-0.03066366600323527
1,EMA_N150_th5_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.23688462589820425,0.8370365173745119,0.46781754753124655,0.5063611383290025,1.171188835085195,0.31314659312045845,33,11,0.8593303448034043,-0.03982511761153362,0.0720198438859308,1.8084025410404154
1,EMA_N150_th5_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.24010376933890631,0.8659719260122475,0.44549427919215323,0.5389603874920768,1.2155516889235307,0.3015012458574618,29,9,0.8258549491708248,-0.03660597417083156,0.09434311222502412,2.57725997906098
2,EMA_N150_th5_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.17531279581663028,0.8735554398945025,0.3131930639159281,0.5597595094369342,1.2264629555934579,0.2104333406461044,33,11,0.8751681948470748,-0.01701644576006922,0.07728511335474647,4.541789422095633
2,EMA_N150_th5_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.16881424635007458,0.8746061192000409,0.3168398702331047,0.5328061971047865,1.22946715845295,0.20178734537859622,31,10,0.8366746275207984,-0.023514995226624924,0.07363830703756985,3.131546756777252
2,EMA_N150_th5_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.16766749790073754,0.8390152856590829,0.4088972949171668,0.41004795087896856,1.171077218852899,0.21163378453892825,27,1,0.8744775633771888,-0.024661743675961967,-0.018419117646492233,-0.7468700465184674
2,EMA_N150_th5_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.15872508256541384,0.8300518449752188,0.4088972949171668,0.38817836297392944,1.1585332742741872,0.20231595638112637,29,2,0.8319132870878889,-0.03360415901128566,-0.018419117646492233,-0.5481201788238871
3,EMA_N100_th5_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.19010342899501187,0.7443910057365618,0.5050871926098977,0.3763774488375071,1.0344240855129259,0.29137830669907117,75,34,0.8246923397355191,-0.07730805441686694,0.12248309037843685,1.5843509619059006
3,EMA_N100_th5_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.19368129836204528,0.7729252107656644,0.4133388749345321,0.4685775040944844,1.080714152685932,0.2803690878648706,75,31,0.7819631845225784,-0.07373018504983353,0.21423140805380242,2.9056133238917745
3,EMA_N100_th5_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.2378471549359853,0.8447612581846923,0.4952624045234168,0.48024472030107324,1.186943186206705,0.30993787456361827,36,6,0.8790863081933804,-0.02956432847589352,0.1323078784649177,4.475253972800374
3,EMA_N100_th5_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.23657733316513507,0.8644286586702256,0.5023718651392893,0.4709207453318287,1.2184735826537982,0.29717881027787063,34,5,0.835478652909273,-0.03083415024674374,0.12519841784904517,4.0603816497997
4,SMA_N200_th2_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.1975683084403561,0.7698578626676749,0.6190168586996635,0.31916466516821135,1.0745298085782495,0.28885111444514183,83,34,0.8292392791599087,-0.04952840725248686,-0.04341333737098918,-0.8765340898138686
4,SMA_N200_th2_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.23058302053392477,0.8819692260916363,0.44260744994532836,0.5209650686232389,1.246906186475741,0.2800994695072562,71,27,0.8013475191264978,-0.016513695158918207,0.13299607138334596,8.053683327896575
4,SMA_N200_th2_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.22205104085012306,0.810228164230459,0.46802547986874676,0.4744422053953027,1.1390931927984107,0.30559307118647316,60,11,0.8657432686187422,-0.02504567484271991,0.10757804145992755,4.295274219420665
4,SMA_N200_th2_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.2146544001583024,0.8157142538112386,0.46802547986874676,0.4586382780238806,1.1454571411868262,0.29062540354787186,58,9,0.8149717652865848,-0.03244231553454058,0.10757804145992755,3.3159791367355305
5,EMA_N100_th5_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.16602513544727815,0.8476123232210193,0.35898482355009725,0.46248510955257394,1.1907378232989843,0.2065311657403485,38,7,0.8793243923393489,-0.019520449504501824,0.11726749126819752,6.007417566954756
5,EMA_N100_th5_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.16245433542607057,0.8546024672324665,0.3646650277947049,0.4454892107655778,1.2039469404700387,0.19959035602457834,34,6,0.8391341281660074,-0.0230912495257094,0.11158728702358989,4.832449058217942
5,EMA_N100_th5_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.1579635604960954,0.8145826820444759,0.40889729491716686,0.3863159831568344,1.1383889292218334,0.20635456036180955,36,3,0.8698642981534513,-0.027582024455684584,0.06735501990112791,2.441989709977442
5,EMA_N100_th5_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.15379145633932056,0.8200316334341499,0.40889729491716686,0.3761126773178462,1.1465153772988876,0.19868006718927,36,3,0.8286431672184148,-0.03175412861245941,0.06735501990112791,2.121142126844562
6,SMA_N150_th5_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.19261937643158866,0.749579039222049,0.6204978579014656,0.3104271416553003,1.04401238797172,0.2926606533832691,76,33,0.8232312245310621,-0.06417834110982512,-0.00015673549388339758,-0.002442186743580426
6,SMA_N150_th5_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.2157881589880848,0.8344411831528858,0.4460654707208806,0.48375893933092906,1.1728237157703094,0.28235592711443985,70,29,0.7865670294807261,-0.041009558553328995,0.17427565168670162,4.249634910360541
6,SMA_N150_th5_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.2204088477928663,0.7997689881746851,0.5052502551931846,0.4362369845980425,1.1150755175434388,0.30957824214209684,39,11,0.859235856653995,-0.03638886974854749,0.11509086721439765,3.1628041214165945
6,SMA_N150_th5_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.21889659204551437,0.8166043649207595,0.45415599831857184,0.4819854694332747,1.143544045614123,0.29689230598646243,37,10,0.8189963280398448,-0.03790112549589941,0.16618512408901037,4.384701560036528
