base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
1,SMA_N150_th0_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.20985333139473283,0.8770548167365254,0.3189251615384218,0.6580018032520498,1.2184699131452783,0.2543104345297366,90,9,0.8738993944377427,-0.043386810257059816,0.08637250212589848,1.990754831114696
1,SMA_N150_th0_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.20706313905267804,0.8597055534545143,0.32610506066573103,0.6349583739361988,1.1919381693971156,0.25784662443190765,86,11,0.8826851404370023,-0.046177002599114614,0.07919260299858927,1.71497928711613
1,SMA_N150_th0_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.22773921166323285,0.9244680254105169,0.3384085329201799,0.672971244838408,1.2865355930657272,0.2582494503265372,90,2,0.8876181912585496,-0.025500929988559795,0.06688913074414038,2.623007504986999
1,SMA_N150_th0_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.236744946642228,0.9227911226631098,0.35647624756472834,0.664125445270348,1.2814316271622233,0.2701194630072906,88,2,0.917616225910626,-0.016495195009564645,0.04882141609959195,2.9597356121757357
2,SMA_N150_th0_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.2925736398317764,0.9020055885247391,0.4245839816567613,0.6890830847883856,1.2635290395117804,0.35496234501914226,86,21,0.8165197916951661,-0.06499879414551901,0.1261852918041963,1.941348196732592
2,SMA_N150_th0_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.30516218403267703,0.9152833262608232,0.4245839816567613,0.7187322113328659,1.2798686165080517,0.36411468585987494,92,22,0.8379520899155584,-0.0524102499446184,0.1261852918041963,2.407645297199222
2,SMA_N150_th0_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.27250040570660783,0.8306489246442799,0.5270432620409837,0.5170361246083396,1.1510817834174008,0.3761112045269859,84,8,0.8477882365522783,-0.0850720282706876,0.02372601141997388,0.2788932144004013
2,SMA_N150_th0_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.2577492888641262,0.7914054339832168,0.5270432620409837,0.4890476881650812,1.0925363752217816,0.3839334180550203,82,10,0.859112767714118,-0.09982314511316925,0.02372601141997388,0.2376804637148605
3,EMA_N150_th5_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.17839262834638214,0.7578666023486971,0.4144568489124369,0.43042509446881283,1.0408440012256184,0.26234287707334436,25,11,0.8750946549543637,-0.05984177306776073,0.0,0.0
3,EMA_N150_th5_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.16630707148873336,0.7105900219276261,0.4144568489124369,0.4012651061868913,0.9703373204767618,0.26715431068498724,29,14,0.8832905608428153,-0.07192732992540951,0.0,0.0
3,EMA_N150_th5_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.1970562847093762,0.8235241048812317,0.35124415789282193,0.5610236648249268,1.1338340455503404,0.2596656116408884,22,4,0.8772914902806029,-0.041178116704766676,0.06321269101961496,1.5351039843038188
3,EMA_N150_th5_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.22856744387876282,0.8901157313541344,0.3915111633794335,0.5838082416496677,1.2258239280999657,0.2737686251450657,18,3,0.9103332799116337,-0.00966695753538005,0.022945685533003413,2.3736201849469816
4,EMA_N150_th0_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.1962902090822285,0.8305281680616312,0.3579417395928415,0.5483859169525982,1.1519662797696044,0.25527324784362204,104,11,0.8677925588562282,-0.034808926745382385,0.052500424758814945,1.5082460066304528
4,EMA_N150_th0_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.21695303338507088,0.876518021447834,0.3579417395928415,0.6061126976469825,1.2168415223728468,0.26408672312820375,96,11,0.8957064744558063,-0.014146102442539998,0.052500424758814945,3.711299629849722
4,EMA_N150_th0_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.19015384703884153,0.8011213746787771,0.3960557761474128,0.48011885822886186,1.1055921362829173,0.2596707703997966,108,4,0.8676557906610329,-0.04094528878876935,0.01438638820424365,0.35135637407421605
4,EMA_N150_th0_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.21180695461768662,0.8505894781598605,0.3960557761474128,0.5347907223523275,1.1761595463453933,0.2685874017706735,108,4,0.9001498770341892,-0.019292181209924264,0.01438638820424365,0.7457108166101518
5,EMA_N150_th0_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.24549311480892522,0.789865694097279,0.6066918568463989,0.4046421787907377,1.0938277617234233,0.3614195425865251,100,25,0.8095056783084899,-0.07715152447708307,-0.053354728388864125,-0.691557668503524
5,EMA_N150_th0_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.29180572268178473,0.8780215739435638,0.6066918568463989,0.4809784726608973,1.2213179868551236,0.370696285194666,94,24,0.8350532434297973,-0.030838916604223554,-0.053354728388864125,-1.7301103366762538
5,EMA_N150_th0_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.25413701203043404,0.7908488182796348,0.6521062662379448,0.3897171752336802,1.0908801143984994,0.37722289132777953,98,10,0.8431728759550923,-0.06850762725557424,-0.09876913778040997,-1.4417246916455342
5,EMA_N150_th0_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.23657106166020703,0.7484350036373318,0.6521062662379448,0.362779923930198,1.0261892294814938,0.3827822907648899,92,11,0.8497997350177509,-0.08607357762580126,-0.09876913778040997,-1.1474966012195027
