rank,cfg_id,final_ratio_vs_spy,strat_mdd,mdd_date,ratio_at_mdd,bench_dd_at_mdd,days_below_spy_total,pct_below_spy_total,days_below_spy_excl_warmup,pct_below_spy_excl_warmup,longest_underperf_bars,longest_underperf_years,longest_underperf_start,longest_underperf_end,worst_ratio,worst_ratio_date,post_mdd_ever_below_spy,post_mdd_pct_below_spy
1,EMA_N150_th5_bL3_sL0,236.13403883648223,-0.5398373914171775,2020-06-11,67.66230172984135,-0.10579152076736675,271,0.02669950738916256,135,0.013505402160864346,243,0.9642857142857143,1986-01-31,1987-01-16,0.7297995554774267,1986-09-29,False,0.0
2,EMA_N150_th5_bL2_sL0,15.037943305554057,-0.3904781772706746,2020-06-11,8.313705705572836,-0.10579152076736675,503,0.04955665024630542,367,0.03671468587434974,284,1.126984126984127,1986-01-31,1987-03-17,0.7844075625227255,1986-09-29,False,0.0
3,EMA_N100_th5_bL3_sL0,175.91706656421238,-0.6275702829883345,2023-03-13,100.77383309806983,-0.1792768210309008,263,0.025911330049261085,181,0.018009950248756217,243,0.9642857142857143,1986-01-31,1987-01-16,0.742851960165448,1986-09-29,False,0.0
4,SMA_N200_th2_bL3_sL0,91.76697698512933,-0.5756035213286743,2020-06-11,31.797938334659538,-0.10579152076736675,240,0.023645320197044337,58,0.005829145728643216,238,0.9444444444444444,1986-01-31,1987-01-09,0.8124559484258502,1986-09-04,False,0.0
5,EMA_N100_th5_bL2_sL0,11.95067564335652,-0.4762523148182948,2023-03-13,9.931760133458148,-0.1792768210309008,444,0.04374384236453202,362,0.036019900497512435,274,1.0873015873015872,1986-01-31,1987-03-03,0.7973749648433014,1986-09-29,False,0.0
6,SMA_N150_th5_bL3_sL0,125.37697154598187,-0.6203411224075823,2003-04-25,9.354549914773258,-0.38636650002338946,243,0.023940886699507388,108,0.010803240972291687,241,0.9563492063492064,1986-01-31,1987-01-14,0.7509198265618287,1986-09-29,False,0.0
7,SMA_N150_th5_bL2_sL0,9.739573755943802,-0.44923352057004506,2003-04-25,3.0341013368697096,-0.38636650002338946,315,0.03103448275862069,180,0.018005401620486146,274,1.0873015873015872,1986-01-31,1987-03-03,0.7995314503672103,1986-09-29,False,0.0
8,SMA_N200_th2_bL2_sL0,7.625864782677365,-0.42396636550785316,2020-06-11,4.816752344661825,-0.10579152076736675,336,0.03310344827586207,154,0.015477386934673367,255,1.0119047619047619,1986-01-31,1987-02-03,0.8124559484258502,1986-09-04,False,0.0
9,EMA_N150_th5_bL3_sL-1,84.38973563369532,-0.6226314857160353,2020-06-11,29.337287629897343,-0.10579152076736675,417,0.04108374384236453,285,0.0285,250,0.9920634920634921,1986-01-31,1987-01-27,0.7027585537292698,1986-09-29,False,0.0
10,EMA_N200_th2_bL3_sL0,30.119624143736704,-0.6329379881188307,2023-03-30,17.855089748428433,-0.13685454759106452,495,0.04876847290640394,313,0.0314572864321608,255,1.0119047619047619,1988-04-14,1989-04-17,0.752360416639656,1988-11-16,False,0.0
