regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,1986-08-06,1986-08-12,4,1.0,0.9985,-0.0014999999999999458,1.0,0.9985,0.0,-0.0014999999999999458
+1 long,1986-08-12,1987-10-16,299,0.9985,1.5520612491059997,0.554392838363545,0.9985,1.4688023992400998,0.08338392575453174,0.47100891260901334
-1 short/cash,1987-10-16,1988-06-01,157,1.5520612491059997,1.5497331572323407,-0.0015000000000000568,1.4688023992400998,1.4665991956412396,0.0,-0.0015000000000000568
+1 long,1988-06-01,1990-08-21,562,1.5497331572323407,2.953301781391033,0.9056840641296706,1.4665991956412396,2.595303402786229,0.19987111949190575,0.7696064545102164
-1 short/cash,1990-08-21,1991-01-30,112,2.953301781391033,2.9488718287189464,-0.0015000000000000568,2.595303402786229,2.59141044768205,0.0,-0.0014999999999999458
+1 long,1991-01-30,1998-08-28,1916,2.9488718287189464,87.63069598900678,28.71668525419616,2.59141044768205,65.84503784227401,11.179860586809065,24.408957466066678
-1 short/cash,1998-08-28,1998-11-06,49,87.63069598900678,87.49924994502327,-0.0015000000000000568,65.84503784227401,65.7462702855106,0.0,-0.0014999999999999458
+1 long,1998-11-06,1999-10-15,236,87.49924994502327,106.318340684963,0.2150771663958717,65.7462702855106,77.75092066168541,2.1390797575663036,0.1825905914364916
-1 short/cash,1999-10-15,1999-11-15,21,106.318340684963,106.15886317393556,-0.0015000000000000568,77.75092066168541,77.63429428069288,0.0,-0.0015000000000000568
+1 long,1999-11-15,2000-10-10,228,106.15886317393556,90.63048405983614,-0.14627491902072287,77.63429428069288,66.27834417155348,0.0,-0.14627491902072387
-1 short/cash,2000-10-10,2002-03-19,357,90.63048405983614,90.49453833374638,-0.0015000000000000568,66.27834417155348,66.17892665529615,0.0,-0.0015000000000000568
+1 long,2002-03-19,2002-05-06,33,90.49453833374638,64.63628319389821,-0.28574382074288507,66.17892665529615,47.26870730014867,0.0,-0.28574382074288507
-1 short/cash,2002-05-06,2003-04-23,243,64.63628319389821,64.53932876910736,-0.0015000000000000568,47.26870730014867,47.19780423919845,0.0,-0.0014999999999999458
+1 long,2003-04-23,2007-11-21,1155,64.53932876910736,236.53267440699972,2.6649385563523147,47.19780423919845,154.099545781622,18.90586554810728,2.2649727728994677
-1 short/cash,2007-11-21,2009-05-04,363,236.53267440699972,236.1778753953892,-0.0015000000000000568,154.099545781622,153.86839646294956,0.0,-0.0015000000000000568
+1 long,2009-05-04,2010-06-07,275,236.1778753953892,344.9913326146818,0.46072671725548475,153.86839646294956,214.0913650867246,10.684339076580068,0.39139270966716233
-1 short/cash,2010-06-07,2010-10-13,90,344.9913326146818,344.4738456157598,-0.0015000000000000568,214.0913650867246,213.77022803909452,0.0,-0.0015000000000000568
+1 long,2010-10-13,2011-08-04,204,344.4738456157598,361.1372933613742,0.048373622432286156,213.77022803909452,222.51184399144856,1.6016267862522056,0.04089257906744326
-1 short/cash,2011-08-04,2012-01-10,109,361.1372933613742,360.59558742133214,-0.0014999999999999458,222.51184399144856,222.17807622546138,0.0,-0.0015000000000000568
+1 long,2012-01-10,2015-08-24,910,360.59558742133214,1170.2755006398727,2.245396065461231,222.17807622546138,646.174197618448,74.99414801743643,1.908361655642048
-1 short/cash,2015-08-24,2016-04-18,163,1170.2755006398727,1168.5200873889128,-0.0015000000000000568,646.174197618448,645.2049363220203,0.0,-0.0015000000000000568
+1 long,2016-04-18,2018-12-07,666,1168.5200873889128,2368.1111032384283,1.026589982316891,645.2049363220203,1208.066550755504,99.64878291047751,0.8723764849693598
-1 short/cash,2018-12-07,2019-04-01,77,2368.1111032384283,2364.558936583571,-0.0014999999999999458,1208.066550755504,1206.2544509293707,0.0,-0.0015000000000000568
+1 long,2019-04-01,2020-03-09,236,2364.558936583571,1970.587507039233,-0.16661518706468226,1206.2544509293707,1005.2741399401685,0.0,-0.1666151870646818
-1 short/cash,2020-03-09,2020-06-05,62,1970.587507039233,1967.631625778674,-0.0015000000000000568,1005.2741399401685,1003.7662287302583,0.0,-0.0015000000000000568
+1 long,2020-06-05,2022-02-23,433,1967.631625778674,4252.938784995464,1.1614507153046993,1003.7662287302583,1994.4916350326303,175.36264201810963,0.9870081080089907
-1 short/cash,2022-02-23,2023-02-01,236,4252.938784995464,4246.559376817971,-0.0014999999999999458,1994.4916350326303,1991.4998975800813,0.0,-0.0014999999999999458
+1 long,2023-02-01,2025-04-03,544,4246.559376817971,9071.995423657694,1.136316631572809,1991.4998975800813,3914.5800971895474,340.40486308094546,0.9656441368368869
-1 short/cash,2025-04-03,2025-06-26,57,9071.995423657694,9058.387430522207,-0.0015000000000000568,3914.5800971895474,3908.708227043763,0.0,-0.0014999999999999458
+1 long,2025-06-26,2026-03-27,189,9058.387430522207,9964.306335509948,0.10000884947085065,3908.708227043763,4240.098368490993,59.60467827408101,0.08478252205022407
-1 short/cash,2026-03-27,2026-04-17,14,9964.306335509948,9949.359876006683,-0.0014999999999999458,4240.098368490993,4233.738220938257,0.0,-0.0015000000000000568
