regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,1986-08-06,1986-08-12,4,1.0,0.9709178032126538,-0.02908219678734625,1.0,0.9709178032126538,0.0,-0.02908219678734625
+1 long,1986-08-12,1987-10-16,299,0.9709178032126538,1.5091876799534116,0.5543928383635419,0.9709178032126538,1.4282287419365751,0.08108055885511921,0.4710089126090107
-1 short/cash,1987-10-16,1988-06-01,157,1.5091876799534116,1.4072723591393013,-0.06752991835797151,1.4282287419365751,1.33178057159709,0.0,-0.0675299183579714
+1 long,1988-06-01,1990-08-21,562,1.4072723591393013,2.681816508701931,0.9056840641296691,1.33178057159709,2.356727495489516,0.18149776336560514,0.7696064545102164
-1 short/cash,1990-08-21,1991-01-30,112,2.681816508701931,2.4389121607106587,-0.09057455914791279,2.356727495489516,2.1432679415537907,0.0,-0.09057455914791179
+1 long,1991-01-30,1998-08-28,1916,2.4389121607106587,72.47638504247001,28.716685254196115,2.1432679415537907,54.458203965324806,9.246484596132435,24.408957466066795
-1 short/cash,1998-08-28,1998-11-06,49,72.47638504247001,63.65414207537546,-0.12172575883751457,54.458203965324806,47.829237762717504,0.0,-0.12172575883751446
+1 long,1998-11-06,1999-10-15,236,63.65414207537546,77.34469458230748,0.21507716639587238,47.829237762717504,56.56240657376872,1.5561423313255685,0.1825905914364927
-1 short/cash,1999-10-15,1999-11-15,21,77.34469458230748,68.58212831938187,-0.11329240241036576,56.56240657376872,50.1543156469146,0.0,-0.11329240241036576
+1 long,1999-11-15,2000-10-10,228,68.58212831938187,58.55028305319554,-0.14627491902072165,50.1543156469146,42.8179971871224,0.0,-0.14627491902072265
-1 short/cash,2000-10-10,2002-03-19,357,58.55028305319554,61.76538367979221,0.05491178622784121,42.8179971871224,44.80689393976226,0.36286024597258404,0.04645001829366335
+1 long,2002-03-19,2002-05-06,33,61.76538367979221,44.11630695747813,-0.2857438207428853,44.80689393976226,32.00360086979336,0.0,-0.2857438207428853
-1 short/cash,2002-05-06,2003-04-23,243,44.11630695747813,45.53806955375424,0.03222759778252726,32.00360086979336,32.873089359558264,0.1621539175356446,0.027168458115148342
+1 long,2003-04-23,2007-11-21,1155,45.53806955375424,166.89422688940803,2.6649385563523293,32.873089359558264,107.32974172004938,13.167862734312726,2.2649727728994815
-1 short/cash,2007-11-21,2009-05-04,363,166.89422688940803,197.14973280746128,0.1812855152749051,107.32974172004938,123.84432093039791,2.947169075306241,0.15386768798367068
+1 long,2009-05-04,2010-06-07,275,197.14973280746128,287.98188201163896,0.4607267172554852,123.84432093039791,172.3160852762359,8.599522370714938,0.39139270966716144
-1 short/cash,2010-06-07,2010-10-13,90,287.98188201163896,250.67232477843848,-0.1295552240043094,172.3160852762359,149.99163624872742,0.0,-0.12955522400430974
+1 long,2010-10-13,2011-08-04,204,250.67232477843848,262.7982531714938,0.048373622432285046,149.99163624872742,156.1251810934836,1.1237796045472819,0.04089257906744259
-1 short/cash,2011-08-04,2012-01-10,109,262.7982531714938,230.9884866478702,-0.12104253411024601,156.1251810934836,137.22739353550745,0.0,-0.1210425341102449
+1 long,2012-01-10,2015-08-24,910,230.9884866478702,749.6491257338429,2.2453960654612346,137.22739353550745,399.10688946237116,46.31983334127666,1.908361655642047
-1 short/cash,2015-08-24,2016-04-18,163,749.6491257338429,648.7429766695457,-0.13460450442801308,399.10688946237116,345.3853043924832,0.0,-0.1346045044280123
+1 long,2016-04-18,2018-12-07,666,648.7429766695457,1314.7360176169452,1.0265899823168962,345.3853043924832,646.6913221984685,53.343090358344696,0.8723764849693552
-1 short/cash,2018-12-07,2019-04-01,77,1314.7360176169452,1182.6686325075066,-0.10045163693683568,646.6913221984685,581.7301202907859,0.0,-0.10045163693683545
+1 long,2019-04-01,2020-03-09,236,1182.6686325075066,985.6180770667368,-0.16661518706468192,581.7301202907859,484.80504747737655,0.0,-0.16661518706468215
-1 short/cash,2020-03-09,2020-06-05,62,985.6180770667368,777.8597328724209,-0.2107899084122099,484.80504747737655,382.6130359218434,0.0,-0.21078990841220968
+1 long,2020-06-05,2022-02-23,433,777.8597328724209,1681.3054760238133,1.1614507153046953,382.6130359218434,760.2552046066394,66.84428199452333,0.9870081080089943
-1 short/cash,2022-02-23,2023-02-01,236,1681.3054760238133,1590.089578328023,-0.05425301885741218,760.2552046066394,719.0090646546699,0.0,-0.05425301885741174
+1 long,2023-02-01,2025-04-03,544,1590.089578328023,3396.934811872753,1.1363166315728108,719.0090646546699,1413.3159522710255,122.89941993225207,0.965644136836886
-1 short/cash,2025-04-03,2025-06-26,57,3396.934811872753,2892.2619531818777,-0.14856713085190054,1413.3159522710255,1203.343656254898,0.0,-0.14856713085190032
+1 long,2025-06-26,2026-03-27,189,2892.2619531818777,3181.5137434879116,0.1000088494708502,1203.343656254898,1305.3661663253258,18.350029554003402,0.08478252205022385
-1 short/cash,2026-03-27,2026-04-17,14,3181.5137434879116,2828.996477263847,-0.11080174239247453,1305.3661663253258,1160.7293206362951,0.0,-0.11080174239247442
