regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,1986-08-06,1986-08-13,5,1.0,0.9615029368435677,-0.03849706315643231,1.0,0.9615029368435677,0.0,-0.03849706315643231
+1 long,1986-08-13,1987-10-16,298,0.9615029368435677,1.3043457888316086,0.35656973978002515,0.9615029368435677,1.2527030228726128,0.05172034647871402,0.30285927881302155
-1 short/cash,1987-10-16,1988-06-14,166,1.3043457888316086,1.179880901446925,-0.09542322936939551,1.2527030228726128,1.1331660549893048,0.0,-0.09542322936939518
+1 long,1988-06-14,1990-08-21,553,1.179880901446925,1.7706804828272318,0.5007281503207577,1.1331660549893048,1.6152080139398368,0.08549442540864517,0.42539392777264373
-1 short/cash,1990-08-21,1991-01-30,112,1.7706804828272318,1.6103018787033414,-0.09057455914791313,1.6152080139398368,1.4689112601450596,0.0,-0.09057455914791324
+1 long,1991-01-30,1998-08-31,1917,1.6103018787033414,14.760614746272378,8.166364978818768,1.4689112601450596,11.664896406176545,1.8023839016622056,6.941185231995975
-1 short/cash,1998-08-31,1998-11-02,44,14.760614746272378,12.350957300010325,-0.16324912530289992,11.664896406176545,9.76061227111928,0.0,-0.16324912530290026
+1 long,1998-11-02,2000-10-11,490,12.350957300010325,17.435061658617627,0.4116364614589876,9.76061227111928,13.173566445771455,0.6057783898893376,0.3496659922401364
-1 short/cash,2000-10-11,2003-05-06,641,17.435061658617627,20.48193793602609,0.1747556926993994,13.173566445771455,15.127434763440691,0.348810627824895,0.14831733879449205
+1 long,2003-05-06,2008-01-08,1177,20.48193793602609,47.71240960176446,1.3294870705492254,15.127434763440691,32.2190006799045,3.024700062200765,1.1298390099668412
-1 short/cash,2008-01-08,2009-06-01,351,47.71240960176446,53.30132817044088,0.11713762971362773,32.2190006799045,35.41970017042947,0.5742192096753654,0.09934198525658511
+1 long,2009-06-01,2010-06-07,256,53.30132817044088,65.78452955487538,0.23420056897113595,35.41970017042947,42.46274758068752,1.2541477440596829,0.19884548362546606
-1 short/cash,2010-06-07,2010-10-05,84,65.78452955487538,58.210071304199325,-0.11514041830089672,42.46274758068752,37.57356906204177,0.0,-0.11514041830089672
+1 long,2010-10-05,2011-08-04,210,58.210071304199325,62.837786393167995,0.0795002477283484,37.57356906204177,40.10415685020272,0.45720606941365244,0.06735021056909507
-1 short/cash,2011-08-04,2012-01-10,109,62.837786393167995,55.23174149026065,-0.12104253411024524,40.10415685020272,35.249848076699436,0.0,-0.12104253411024513
+1 long,2012-01-10,2015-08-24,910,55.23174149026065,126.1824118787585,1.2845995522521956,35.249848076699436,73.73156505872524,6.810437730856435,1.0916846194143646
-1 short/cash,2015-08-24,2016-04-19,164,126.1824118787585,108.8487341349833,-0.13736999860511578,73.73156505872524,63.60306006945511,0.0,-0.13736999860511634
+1 long,2016-04-19,2018-12-14,670,108.8487341349833,174.014513628496,0.5986820151045635,63.60306006945511,95.95505632475782,5.734613834647305,0.5086547128388796
-1 short/cash,2018-12-14,2019-03-21,65,174.014513628496,155.52660234573986,-0.10624350174736585,95.95505632475782,85.76045513044983,0.0,-0.10624350174736585
+1 long,2019-03-21,2020-03-09,243,155.52660234573986,142.65116397752502,-0.0827860840140544,85.76045513044983,78.66068288693687,0.0,-0.0827860840140544
-1 short/cash,2020-03-09,2020-06-02,59,142.65116397752502,116.80938155731475,-0.18115367375678537,78.66068288693687,64.41101120175077,0.0,-0.18115367375678526
+1 long,2020-06-02,2022-02-23,436,116.80938155731475,217.69829356429577,0.8637055573954731,64.41101120175077,111.68384480678222,8.371872536186766,0.7339247237861486
-1 short/cash,2022-02-23,2023-02-02,237,217.69829356429577,202.88187542346986,-0.0680594133203436,111.68384480678222,104.08270785187231,0.0,-0.0680594133203436
+1 long,2023-02-02,2025-04-03,543,202.88187542346986,337.9059100149109,0.6655302959399847,104.08270785187231,162.9389552976632,10.429592301552686,0.5654757515489846
-1 short/cash,2025-04-03,2025-05-16,30,337.9059100149109,297.9624522299662,-0.11820881671818673,162.9389552976632,143.67813419462885,0.0,-0.11820881671818706
+1 long,2025-05-16,2026-04-17,230,297.9624522299662,426.4782021950172,0.4313152513118099,143.67813419462885,205.64870475279713,0.0,0.4313152513118097
