rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
1,SMA_N150_th0_bL2_sL0,SMA,150,0.0,2.0,0.0,QLD,0.25324014165179265,0.9099415195110357,0.4052976636643203,0.6248250714357282,1.267001543009164,0.29690855340239214,98,0.21028388314102453,0.7808750824082742,0.4095494799083703,0.5134517157440218,1.063822498613685,0.3044567846042981,98,0.04295625851076812,0.9635416666666667,True,False,False,True,True,True,True,5
2,SMA_N150_th0_bL3_sL0,SMA,150,0.0,3.0,0.0,TQQQ,0.35757243397729543,0.9147530016564427,0.5507692734609576,0.6492236426523215,1.2745224403340283,0.442582309135837,98,0.29845874758730195,0.8081299812837737,0.5533130782649747,0.5394030239140196,1.1071682769576963,0.4511508992203833,98,0.05911368638999348,0.9510416666666668,True,False,False,True,True,True,False,4
3,EMA_N150_th5_bL2_sL0,EMA,150,0.05,2.0,0.0,QLD,0.23823440141414287,0.8552141621839527,0.4144568489124369,0.5748111101053975,1.1801728764211943,0.3046195974866367,16,0.20824342424884468,0.7637688333204176,0.45906488581955734,0.45362525142186116,1.0309921110055715,0.31266307962905043,16,0.029990977165298194,0.9489583333333335,True,False,False,True,True,True,True,5
4,EMA_N150_th0_bL2_sL0,EMA,150,0.0,2.0,0.0,QLD,0.23109913582761088,0.8437351191504127,0.4104421643516564,0.5630492086325005,1.1685678774166324,0.30030236542793054,114,0.1866775245322696,0.7110658374592038,0.425933335849524,0.4382787371172564,0.9627715324691244,0.3084059849666164,114,0.04442161129534128,0.9447916666666667,True,False,False,True,True,True,True,5
5,EMA_N150_th0_bL3_sL0,EMA,150,0.0,3.0,0.0,TQQQ,0.3226446392860083,0.8513348737672027,0.5533371284575348,0.5830887223949752,1.180341915987584,0.4476693941871162,114,0.2615119024220771,0.7407189386679127,0.5690673587915653,0.4595447241560417,1.008839795196088,0.45703198077240914,114,0.06113273686393117,0.9416666666666667,True,False,False,True,True,True,False,4
6,EMA_N150_th5_bL3_sL0,EMA,150,0.05,3.0,0.0,TQQQ,0.3245355738681439,0.8487796301273809,0.5627906426063642,0.57665417528119,1.1714489671934005,0.45462910850672855,16,0.28666692237304514,0.7806334933922073,0.5965836325229045,0.48051422591121656,1.0605860979028925,0.463045756021456,16,0.03786865149509877,0.9390625,True,False,False,True,True,True,False,4
7,SMA_N150_th2_bL2_sL0,SMA,150,0.02,2.0,0.0,QLD,0.21925537688502805,0.8152337020176375,0.40706763396509066,0.5386214933114308,1.1230701927604454,0.29819058007418003,36,0.18426501172817678,0.7089235737965338,0.4456774302322318,0.41344927795011005,0.9582289107122474,0.30501866342954803,36,0.03499036515685128,0.9380208333333334,True,False,False,True,True,True,True,5
8,SMA_N150_th2_bL3_sL0,SMA,150,0.02,3.0,0.0,TQQQ,0.29748534707843466,0.8109953009211686,0.5529572215372617,0.5379898037164675,1.1175966834521311,0.4447237676515405,36,0.25188797262560203,0.7269401096890533,0.5826544453948961,0.4323110801203689,0.9878877796588548,0.4521016819487339,36,0.04559737445283263,0.9317708333333334,True,False,False,True,True,True,False,4
9,SMA_N200_th0_bL2_sL0,SMA,200,0.0,2.0,0.0,QLD,0.21704198969524624,0.801738780879666,0.4271686814118615,0.5080943410408446,1.1035642316979422,0.30262132845976003,86,0.1821243771490868,0.69642229893767,0.4766208509114889,0.3821158407165621,0.9385843741415698,0.31035898174313187,86,0.03491761254615944,0.9291666666666667,True,False,False,True,True,False,True,4
10,EMA_N150_th2_bL2_sL0,EMA,150,0.02,2.0,0.0,QLD,0.21565804646343367,0.8019351518868206,0.4353309179497178,0.49538876650232067,1.1067467964605373,0.3001714043469482,40,0.1825611225356314,0.7019835668342601,0.4690699456339771,0.3891980806591408,0.9513878252659647,0.3066603062411779,40,0.03309692392780228,0.9255208333333335,True,False,False,True,True,True,True,5
11,SMA_N200_th0_bL3_sL0,SMA,200,0.0,3.0,0.0,TQQQ,0.2958405241901898,0.8032742583598828,0.5695991406526417,0.5193837263364167,1.1066341284186143,0.4509353198768851,86,0.251014204112292,0.7216147488201882,0.6147908480843105,0.40829203117524077,0.9790910556902995,0.45912119503556365,86,0.044826320077897774,0.9255208333333333,True,False,False,True,True,False,False,3
12,SMA_N150_th0_bL1_sL0,SMA,150,0.0,1.0,0.0,QQQ,0.13848273938598066,0.943413925884599,0.2234334897730807,0.6197940135412282,1.3168025993550825,0.14933436895981522,98,0.11399546530247084,0.7747334752692142,0.22818819008781574,0.4995677701751389,1.0475818833811086,0.1549322069019746,98,0.024487274083509813,0.9203125000000001,True,False,True,True,True,True,True,6
13,EMA_N100_th0_bL3_sL0,EMA,100,0.0,3.0,0.0,TQQQ,0.26545063448864314,0.7664073952950481,0.474061473834298,0.5599498148238639,1.0589837818594552,0.4281978449608777,179,0.2024206253048899,0.643509877032151,0.5268555535048102,0.38420516583401987,0.8730527768164281,0.437533672255462,179,0.06303000918375323,0.9203125,True,False,False,True,True,False,True,4
14,EMA_N150_th2_bL3_sL0,EMA,150,0.02,3.0,0.0,TQQQ,0.29178895700409346,0.7985804216691762,0.5893462905806484,0.4951061229495666,1.1025403215509475,0.44777572825926987,40,0.2488107490572069,0.7197603189741487,0.6153857390088485,0.4043167289803401,0.9806625861255567,0.45474576151001544,40,0.04297820794688656,0.9177083333333333,True,False,False,True,True,True,False,4
15,EMA_N150_th5_bL1_sL0,EMA,150,0.05,1.0,0.0,QQQ,0.1369997076987528,0.9156699081880719,0.23113488707455812,0.5927262190175568,1.2676842062755198,0.15306122401748395,16,0.11810522992063666,0.7799550786920629,0.27432943980434915,0.43052335179508594,1.0426563979702375,0.15961653180363286,16,0.018894477778116148,0.9166666666666667,True,False,True,True,True,True,True,6
16,EMA_N200_th2_bL2_sL0,EMA,200,0.02,2.0,0.0,QLD,0.2155837290485263,0.7932039821093396,0.4610743866510582,0.4675682173854528,1.0938583327248856,0.30542448038631215,34,0.18406672559633197,0.6978947029997167,0.5123842715910466,0.3592357060937316,0.9412582245005395,0.3135820446489662,34,0.031517003452194325,0.9161458333333333,True,False,False,True,True,True,True,5
17,EMA_N150_th0_bL1_sL0,EMA,150,0.0,1.0,0.0,QQQ,0.12801407665311682,0.8734822358742804,0.22851260583134075,0.5602057540212932,1.2116056301943945,0.15100399048931631,114,0.10260445753471581,0.7015430438840901,0.24443120553019834,0.4197682424065102,0.9423359627194304,0.15688854888979878,114,0.025409619118401006,0.9067708333333334,True,False,True,True,True,True,True,6
18,EMA_N200_th2_bL3_sL0,EMA,200,0.02,3.0,0.0,TQQQ,0.2895072401696228,0.7888225301079446,0.6110796024376018,0.4737635473590935,1.0884537961856238,0.45564901948629355,34,0.24947406299091401,0.7163753747630645,0.654858917395395,0.38095848794906906,0.9727704095887021,0.46426120853187064,34,0.0400331771787088,0.9062500000000001,True,False,False,True,True,True,False,4
19,SMA_N150_th0_bL3_sL-1,SMA,150,0.0,3.0,-1.0,TQQQ,0.2899124614191415,0.7835440238377155,0.6157028372665329,0.470864260925341,1.0903254321591336,0.46356166362265205,98,0.23228576771560627,0.6820600058999357,0.6178789505886624,0.3759405745968595,0.934463413250415,0.47183949764754407,98,0.05762669370353524,0.9057291666666668,True,False,False,True,True,True,False,4
20,SMA_N150_th2_bL1_sL0,SMA,150,0.02,1.0,0.0,QQQ,0.12635688970926018,0.8693098609248431,0.22786618802944927,0.5545223308555541,1.2015955510539613,0.1498372117502486,36,0.10516284193850178,0.7224540093912492,0.2624754587991595,0.40065780785612454,0.969757629212603,0.1551928243482396,36,0.021194047770758395,0.9052083333333334,True,False,True,True,True,True,True,6
21,EMA_N200_th5_bL2_sL0,EMA,200,0.05,2.0,0.0,QLD,0.21173561329029433,0.7689663547295867,0.49829233177145826,0.42492247981734316,1.0499308425076652,0.31507218469410286,14,0.18715741684112408,0.6973730795558242,0.4982923317714583,0.3755976259473401,0.9373985560089071,0.3211486444442217,14,0.024578196449170253,0.8986979166666668,True,False,False,True,True,False,False,3
22,EMA_N100_th5_bL2_sL0,EMA,100,0.05,2.0,0.0,QLD,0.20152312788971516,0.7667585758882423,0.46522374033230635,0.43317464355058166,1.053863811875234,0.2977669896245449,23,0.17168536432007908,0.6735374890077896,0.5131536422035826,0.33456912355299356,0.9059294593030441,0.30559945041560416,23,0.029837763569636078,0.8979166666666667,True,False,False,True,True,True,True,5
23,EMA_N150_th2_bL1_sL0,EMA,150,0.02,1.0,0.0,QQQ,0.12479548825047027,0.8553472295908945,0.24839686796176902,0.5024036304261198,1.1842289243078319,0.15083449915356809,40,0.10463586641829914,0.7166597344174513,0.27432484149607994,0.38143051809543965,0.9647566881739433,0.15593841522951593,40,0.020159621832171126,0.8963541666666668,True,False,True,True,True,True,True,6
24,EMA_N100_th0_bL2_sL0,EMA,100,0.0,2.0,0.0,QLD,0.18879210450897044,0.7464929271576827,0.3480819275577536,0.5423783585479202,1.0299418735055421,0.2874120822095338,179,0.14385887950926635,0.6046187334785063,0.3890486353628985,0.36977093975686876,0.8159449777186928,0.2951004942982583,179,0.04493322499970409,0.8958333333333334,True,False,False,True,True,False,True,4
25,EMA_N200_th2_bL1_sL0,EMA,200,0.02,1.0,0.0,QQQ,0.12588398193788697,0.849502330662161,0.2577224821789812,0.4884478097276123,1.1751409532128116,0.15348888625410478,34,0.10629598942638796,0.7120925455118001,0.3054132773786681,0.3480398440392504,0.9515918194097827,0.1599927062718359,34,0.01958799251149901,0.8942708333333333,True,False,True,True,True,True,True,6
26,EMA_N100_th5_bL3_sL0,EMA,100,0.05,3.0,0.0,TQQQ,0.26925500781895395,0.7618765629288368,0.617520012967621,0.43602636702411135,1.047537601802058,0.44423533241174784,23,0.23126988757588451,0.6904864529680064,0.6584154438047223,0.3512522219094184,0.934627928505694,0.45255423104651205,23,0.03798512024306944,0.8927083333333334,True,False,False,True,True,True,False,4
