regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-09-16,2011-06-06,181,1.0,1.3423679409537144,0.34236794095371437,1.0,1.290787749810657,0.051657677659546465,0.290787749810657
-1 short/cash,2011-06-06,2011-06-29,17,1.3423679409537144,1.3403543890422838,-0.0015000000000000568,1.290787749810657,1.288851568185941,0.0,-0.0015000000000000568
+1 long,2011-06-29,2011-08-02,23,1.3403543890422838,1.3316684385562587,-0.006480338749986436,1.288851568185941,1.2804993734256445,0.0,-0.006480338749986658
-1 short/cash,2011-08-02,2011-09-16,32,1.3316684385562587,1.3296709358984242,-0.0015000000000000568,1.2804993734256445,1.278578624365506,0.0,-0.0015000000000000568
+1 long,2011-09-16,2011-09-21,3,1.3296709358984242,1.272780160579915,-0.04278560490612637,1.278578624365506,1.2238738645019849,0.0,-0.04278560490612637
-1 short/cash,2011-09-21,2011-10-10,13,1.272780160579915,1.2708709903390452,-0.0014999999999999458,1.2238738645019849,1.222038053705232,0.0,-0.0014999999999999458
+1 long,2011-10-10,2011-11-17,28,1.2708709903390452,1.2563473558561187,-0.011428095057116616,1.222038053705232,1.2080724866640753,0.0,-0.011428095057116283
-1 short/cash,2011-11-17,2011-11-30,8,1.2563473558561187,1.2544628348223346,-0.0014999999999999458,1.2080724866640753,1.2062603779340793,0.0,-0.0014999999999999458
+1 long,2011-11-30,2011-12-13,9,1.2544628348223346,1.223236768973113,-0.02489198163741857,1.2062603779340793,1.176234166756599,0.0,-0.024891981637418237
-1 short/cash,2011-12-13,2011-12-20,5,1.223236768973113,1.2214019138196532,-0.0015000000000000568,1.176234166756599,1.1744698155064641,0.0,-0.0014999999999999458
+1 long,2011-12-20,2011-12-21,1,1.2214019138196532,1.1839151094347469,-0.03069162080127663,1.1744698155064641,1.1384234332863943,0.0,-0.030691620801276742
-1 short/cash,2011-12-21,2011-12-22,1,1.1839151094347469,1.1821392367705947,-0.0015000000000000568,1.1384234332863943,1.1367157981364646,0.0,-0.0015000000000000568
+1 long,2011-12-22,2012-05-18,101,1.1821392367705947,1.4029276104969897,0.1867701932722845,1.1367157981364646,1.316918971998451,0.032149679971579324,0.1585296642814431
-1 short/cash,2012-05-18,2012-05-21,1,1.4029276104969897,1.4008232190812442,-0.0014999999999999458,1.316918971998451,1.3149435935404534,0.0,-0.0014999999999999458
+1 long,2012-05-21,2012-06-01,8,1.4008232190812442,1.305750552653001,-0.06786913946971718,1.3149435935404534,1.2256995033956455,0.0,-0.06786913946971707
-1 short/cash,2012-06-01,2012-06-06,3,1.305750552653001,1.3037919268240217,-0.0014999999999999458,1.2256995033956455,1.223860954140552,0.0,-0.0014999999999999458
+1 long,2012-06-06,2012-07-12,25,1.3037919268240217,1.2984889543094298,-0.004067345720961568,1.223860954140552,1.2188830885256765,0.0,-0.004067345720961568
-1 short/cash,2012-07-12,2012-07-13,1,1.2984889543094298,1.2965412208779656,-0.0015000000000000568,1.2188830885256765,1.217054763892888,0.0,-0.0015000000000000568
+1 long,2012-07-13,2012-07-25,8,1.2965412208779656,1.259169026086202,-0.028824532679691095,1.217054763892888,1.1819737290780834,0.0,-0.028824532679691317
-1 short/cash,2012-07-25,2012-07-26,1,1.259169026086202,1.2572802725470729,-0.0014999999999999458,1.1819737290780834,1.1802007684844662,0.0,-0.0015000000000000568
+1 long,2012-07-26,2012-10-23,62,1.2572802725470729,1.3373575144200658,0.0636908441351487,1.1802007684844662,1.2438280090262257,0.011558079771625583,0.05391221751487696
-1 short/cash,2012-10-23,2012-11-01,5,1.3373575144200658,1.3353514781484357,-0.0014999999999999458,1.2438280090262257,1.2419622670126864,0.0,-0.0014999999999999458
+1 long,2012-11-01,2012-11-02,1,1.3353514781484357,1.3014033960131086,-0.025422581762816976,1.2419622670126864,1.2103883797332227,0.0,-0.025422581762817087
-1 short/cash,2012-11-02,2012-11-05,1,1.3014033960131086,1.299451290919089,-0.0014999999999999458,1.2103883797332227,1.2085727971636229,0.0,-0.0014999999999999458
+1 long,2012-11-05,2012-11-07,2,1.299451290919089,1.2406208197490978,-0.045273317731194807,1.2085727971636229,1.153856696916355,0.0,-0.04527331773119503
-1 short/cash,2012-11-07,2012-11-28,14,1.2406208197490978,1.2387598885194742,-0.0014999999999999458,1.153856696916355,1.1521259118709806,0.0,-0.0014999999999999458
+1 long,2012-11-28,2012-12-05,5,1.2387598885194742,1.2131324257882201,-0.02068799851267633,1.1521259118709806,1.1282907327197778,0.0,-0.020687998512676442
-1 short/cash,2012-12-05,2012-12-06,1,1.2131324257882201,1.2113127271495379,-0.0014999999999999458,1.1282907327197778,1.126598296620698,0.0,-0.0015000000000000568
+1 long,2012-12-06,2012-12-07,1,1.2113127271495379,1.1949261796572055,-0.013527924808396263,1.126598296620698,1.1113577595747457,0.0,-0.013527924808396374
-1 short/cash,2012-12-07,2012-12-11,2,1.1949261796572055,1.1931337903877197,-0.0014999999999999458,1.1113577595747457,1.1096907229353836,0.0,-0.0014999999999999458
+1 long,2012-12-11,2012-12-14,3,1.1931337903877197,1.1450969220126934,-0.04026109122214727,1.1096907229353836,1.0650133635109118,0.0,-0.04026109122214705
-1 short/cash,2012-12-14,2012-12-17,1,1.1450969220126934,1.1433792766296744,-0.0014999999999999458,1.0650133635109118,1.0634158434656453,0.0,-0.0015000000000000568
+1 long,2012-12-17,2012-12-26,6,1.1433792766296744,1.1170849466945982,-0.02299703210695203,1.0634158434656453,1.0389604351704245,0.0,-0.02299703210695192
-1 short/cash,2012-12-26,2012-12-31,3,1.1170849466945982,1.1154093192745564,-0.0014999999999999458,1.0389604351704245,1.037401994517669,0.0,-0.0014999999999999458
+1 long,2012-12-31,2014-04-11,322,1.1154093192745564,1.8592104758350818,0.66684143991578,1.037401994517669,1.6251838228952171,0.10415704698859904,0.5665902239284129
-1 short/cash,2014-04-11,2014-04-14,1,1.8592104758350818,1.8564216601213293,-0.0014999999999999458,1.6251838228952171,1.6227460471608743,0.0,-0.0014999999999999458
+1 long,2014-04-14,2014-10-15,128,1.8564216601213293,2.1953307747563815,0.18256041820418223,1.6227460471608743,1.8741927467578043,0.04486980211511464,0.15495135547355443
-1 short/cash,2014-10-15,2014-10-17,2,2.1953307747563815,2.192037778594247,-0.0015000000000000568,1.8741927467578043,1.8713814576376677,0.0,-0.0014999999999999458
+1 long,2014-10-17,2015-07-08,180,2.192037778594247,2.830178409515115,0.29111753326172485,1.8713814576376677,2.3340335574880267,0.08226324876199283,0.24722490327246605
