regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-09-16,2011-06-06,181,1.0,1.5271871331210563,0.5271871331210563,1.0,1.4478840631528977,0.07942220327306804,0.44788406315289775
-1 short/cash,2011-06-06,2011-06-29,17,1.5271871331210563,1.5060265469605763,-0.013855922238707463,1.4478840631528977,1.427822294163187,0.0,-0.013855922238707685
+1 long,2011-06-29,2011-08-02,23,1.5060265469605763,1.4859242294497363,-0.013347917107709661,1.427822294163187,1.408763840536157,0.0,-0.01334791710770955
-1 short/cash,2011-08-02,2011-09-16,32,1.4859242294497363,1.4400394147023696,-0.030879646376288372,1.408763840536157,1.3652617113126981,0.0,-0.030879646376288705
+1 long,2011-09-16,2011-09-21,3,1.4400394147023696,1.348842941531103,-0.06332915074419354,1.3652617113126981,1.2788008465917005,0.0,-0.06332915074419365
-1 short/cash,2011-09-21,2011-10-10,13,1.348842941531103,1.3250985248612173,-0.017603544444494634,1.2788008465917005,1.2562894190530665,0.0,-0.0176035444444943
+1 long,2011-10-10,2011-11-17,28,1.3250985248612173,1.2871842716698323,-0.028612403138367326,1.2562894190530665,1.220343959736655,0.0,-0.028612403138367215
-1 short/cash,2011-11-17,2011-11-30,8,1.2871842716698323,1.2675061906349678,-0.015287695373512156,1.220343959736655,1.2016877130292956,0.0,-0.015287695373512045
+1 long,2011-11-30,2011-12-13,9,1.2675061906349678,1.2209279927206802,-0.03674790565792341,1.2016877130292956,1.1575282063206094,0.0,-0.0367479056579233
-1 short/cash,2011-12-13,2011-12-20,5,1.2209279927206802,1.2100993663612822,-0.00886917690802369,1.1575282063206094,1.1472618838827244,0.0,-0.008869176908023801
+1 long,2011-12-20,2011-12-21,1,1.2100993663612822,1.1579758322149254,-0.04307376368858873,1.1472618838827244,1.0978449966074346,0.0,-0.04307376368858895
-1 short/cash,2011-12-21,2011-12-22,1,1.1579758322149254,1.1463379924441874,-0.010050157738160759,1.0978449966074346,1.0868114812194796,0.0,-0.010050157738160537
+1 long,2011-12-22,2012-05-18,101,1.1463379924441874,1.46620187397548,0.2790310393964075,1.0868114812194796,1.344332965283932,0.04580135520096879,0.23695138348694567
-1 short/cash,2012-05-18,2012-05-21,1,1.46620187397548,1.4230198296768175,-0.029451636275418358,1.344332965283932,1.304740159757335,0.0,-0.029451636275418358
+1 long,2012-05-21,2012-06-01,8,1.4230198296768175,1.27776137525784,-0.1020776038321034,1.304740159757335,1.1715554106257902,0.0,-0.10207760383210362
-1 short/cash,2012-06-01,2012-06-06,3,1.27776137525784,1.2318852810938365,-0.035903491099616436,1.1715554106257902,1.1294924813676799,0.0,-0.035903491099616214
+1 long,2012-06-06,2012-07-12,25,1.2318852810938365,1.2194383032491694,-0.010104007277053517,1.1294924813676799,1.118080081116564,0.0,-0.010104007277053073
-1 short/cash,2012-07-12,2012-07-13,1,1.2194383032491694,1.1990348330257798,-0.016731859388888215,1.118080081116564,1.0993725224138051,0.0,-0.016731859388888104
+1 long,2012-07-13,2012-07-25,8,1.1990348330257798,1.1468735718515815,-0.043502707125337436,1.0993725224138051,1.051546841549594,0.0,-0.043502707125337214
-1 short/cash,2012-07-25,2012-07-26,1,1.1468735718515815,1.1299121823824119,-0.014789240841766138,1.051546841549594,1.0359952620535189,0.0,-0.014789240841765916
+1 long,2012-07-26,2012-10-23,62,1.1299121823824119,1.2308898833526472,0.08936774250661195,1.0359952620535189,1.1144590372642353,0.014141995599952328,0.07573758113062024
-1 short/cash,2012-10-23,2012-11-01,5,1.2308898833526472,1.2194864717658165,-0.009264363726648295,1.1144590372642353,1.104134283384569,0.0,-0.009264363726648406
+1 long,2012-11-01,2012-11-02,1,1.2194864717658165,1.1731338452054674,-0.0380099555292569,1.104134283384569,1.0621661883747937,0.0,-0.0380099555292569
-1 short/cash,2012-11-02,2012-11-05,1,1.1731338452054674,1.1636011089832765,-0.008125872645436516,1.0621661883747937,1.0535351611997714,0.0,-0.008125872645436516
+1 long,2012-11-05,2012-11-07,2,1.1636011089832765,1.0850461182802253,-0.06751024049099641,1.0535351611997714,0.9824107491014542,0.0,-0.06751024049099641
-1 short/cash,2012-11-07,2012-11-28,14,1.0850461182802253,1.0590650123695453,-0.023944701955949554,0.9824107491014542,0.9588872165158988,0.0,-0.023944701955949443
+1 long,2012-11-28,2012-12-05,5,1.0590650123695453,1.027019145936062,-0.0302586395161748,0.9588872165158988,0.9298725938946759,0.0,-0.030258639516174912
