rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
1,EMA_N150_th5_bL2_sL0,EMA,150,0.05,2.0,0.0,SSO,0.1509971770731895,0.7067148737997075,0.3910799294397589,0.3861031101480977,0.9572699125507133,0.24027052938645124,15,0.13251820763531552,0.6307455155117417,0.39184717555986825,0.33818849771208515,0.8385904421081267,0.24601856528138574,15,0.01847896943787397,0.9528645833333333,True,False,False,True,True,False,True,4
2,SMA_N150_th2_bL2_sL0,SMA,150,0.02,2.0,0.0,SSO,0.15095374766323366,0.725816976251326,0.43428298234139096,0.3475930529199704,0.9926179126639857,0.23061341306891905,34,0.12672825496422524,0.6233892011183779,0.4766781319180681,0.2658570772992947,0.8339135802282017,0.23695903940238702,34,0.024225492699008422,0.9447916666666668,True,False,False,True,True,True,True,5
3,EMA_N150_th5_bL1_sL0,EMA,150,0.05,1.0,0.0,SPY,0.09203756277042086,0.7896817305888847,0.2115073033118535,0.43515075521868657,1.0737686571307972,0.1207678785414052,15,0.0803285706333805,0.6797545699279254,0.22101677057951066,0.36345011477073563,0.8979167991448577,0.12531406159849234,15,0.011708992137040353,0.9385416666666667,True,False,False,True,True,False,True,4
4,EMA_N150_th5_bL3_sL0,EMA,150,0.05,3.0,0.0,UPRO,0.2024902836289757,0.6954520970757619,0.5423361717633458,0.37336673113762825,0.9423188323021148,0.3598037174080405,15,0.17868361388645182,0.6361652803741623,0.5423361717633458,0.32947021273812865,0.8502855732179706,0.36602346174025163,15,0.023806669742523878,0.9354166666666668,True,False,False,True,True,False,False,3
5,SMA_N150_th2_bL3_sL0,SMA,150,0.02,3.0,0.0,UPRO,0.20361893035943135,0.711265634276389,0.5821086001109401,0.34979543391151585,0.9723615189453335,0.3454918463489332,34,0.17197922247804387,0.6292190407984973,0.6212921783630587,0.2768089289827595,0.8458146112639936,0.3526593917716851,34,0.03163970788138748,0.9338541666666668,True,False,False,True,True,False,False,3
6,SMA_N150_th2_bL1_sL0,SMA,150,0.02,1.0,0.0,SPY,0.08995470677249129,0.8012461137610508,0.240649700924096,0.3737993707329151,1.0994092757356906,0.11590839028869582,34,0.07483534831013494,0.6586516097712325,0.2764953506290878,0.2706568054033026,0.8747451651375209,0.12069317524888491,34,0.015119358462356347,0.9281250000000001,True,False,False,True,True,True,True,5
7,SMA_N200_th2_bL2_sL0,SMA,200,0.02,2.0,0.0,SSO,0.13727136160105746,0.664267450798049,0.421299260232459,0.3258286319451775,0.8986153618529257,0.23600377543904996,26,0.11439080713356198,0.5705188554538306,0.43828639355164595,0.2609955700577381,0.7572322495462777,0.24183035987998328,26,0.022880554467495484,0.9260416666666667,True,False,False,True,True,False,True,4
8,EMA_N100_th5_bL2_sL0,EMA,100,0.05,2.0,0.0,SSO,0.1449671931331873,0.6960916023289018,0.4970603831765777,0.2916490592284611,0.9477307676104262,0.23419417282812338,18,0.12424651614644322,0.6096040814065578,0.5322819661603247,0.23342236642490313,0.8141032018067084,0.23988774117411074,18,0.02072067698674407,0.925,True,False,False,True,True,False,True,4
9,SMA_N100_th0_bL3_sL0,SMA,100,0.0,3.0,0.0,UPRO,0.176720047753691,0.6600330877180406,0.5022504285027246,0.351856439984565,0.8976238062353767,0.33016696794871936,172,0.13086698187200185,0.5352560523397821,0.5222068505941188,0.2506037247943291,0.7132306381168727,0.33876631903263343,172,0.04585306588168914,0.9234375000000001,True,False,False,True,True,True,False,4
10,SMA_N200_th0_bL2_sL0,SMA,200,0.0,2.0,0.0,SSO,0.13251576725148695,0.6545672859515842,0.38964394635710836,0.3400945106177432,0.8888315207078256,0.23130913009464935,90,0.1049372986503585,0.5394720546430607,0.43797568554096594,0.23959617420484228,0.7158312815840063,0.23819255232362935,90,0.027578468601128447,0.9229166666666667,True,False,False,True,True,False,True,4
11,SMA_N150_th0_bL2_sL0,SMA,150,0.0,2.0,0.0,SSO,0.13321688029146972,0.664374099411894,0.4265997682982048,0.312276025894012,0.8997768179118333,0.22752277384215264,124,0.10339684219128786,0.5395453077543514,0.469401687883592,0.2202736906581586,0.7163179229220751,0.23340919903092702,124,0.029820038100181856,0.9208333333333335,True,False,False,True,True,False,True,4
12,EMA_N100_th5_bL1_sL0,EMA,100,0.05,1.0,0.0,SPY,0.08784372585063949,0.7747612524040447,0.28267161828611304,0.3107624542684943,1.0584367843416684,0.11763101122110306,18,0.07453401118409242,0.6500057569016476,0.3143608410006597,0.23709699639064144,0.8617425258720441,0.1221463800288678,18,0.013309714666547068,0.9203125000000001,True,False,False,True,True,False,True,4
13,SMA_N200_th2_bL1_sL0,SMA,200,0.02,1.0,0.0,SPY,0.08454756600810742,0.7443159283859181,0.2352072520142605,0.3594598605445267,1.010258516798268,0.11851693776902983,26,0.06992270265322009,0.6111374310635983,0.24433376819422264,0.2861769912934754,0.8055837796067997,0.12307821420688086,26,0.01462486335488733,0.9187500000000001,True,False,False,True,True,False,True,4
14,SMA_N200_th0_bL3_sL0,SMA,200,0.0,3.0,0.0,UPRO,0.1782375249698851,0.6490988063340233,0.524230281727854,0.33999852962026017,0.8816797091953613,0.3461775057046284,90,0.14160130442023422,0.5540722725114963,0.5710883764160626,0.24794989754277813,0.7391423326968403,0.3541148459617185,90,0.03663622054965088,0.9182291666666667,True,False,False,True,True,False,False,3
15,SMA_N100_th0_bL2_sL0,SMA,100,0.0,2.0,0.0,SSO,0.12624298011708657,0.6502933872723128,0.36684225988526037,0.3441342340344659,0.8825328611913096,0.22050500791763825,172,0.09355906401112457,0.5083551757144767,0.38750993173920495,0.2414365577450284,0.6736246270588495,0.2273515090620031,172,0.032683916105961996,0.9171875,True,False,False,True,True,True,True,5
16,EMA_N150_th2_bL1_sL0,EMA,150,0.02,1.0,0.0,SPY,0.08697217029010385,0.7638494317981894,0.30751835311726783,0.2828194460866478,1.0440338937676066,0.11837619766331459,39,0.07152065188283174,0.6230931565931133,0.34172863471185133,0.20929077817297517,0.8255671407060039,0.12309622634637013,39,0.015451518407272102,0.9161458333333333,True,False,False,True,True,True,True,5
17,SMA_N150_th5_bL1_sL0,SMA,150,0.05,1.0,0.0,SPY,0.08332807790563135,0.732919146089195,0.23930973258682325,0.3482017927348581,0.993621744586712,0.11888509035919796,17,0.07129007765088202,0.6215768599925824,0.23930973258682314,0.29789878113301355,0.8203824882077517,0.12306247747253168,17,0.012038000254749326,0.9151041666666667,True,False,False,True,True,False,True,4
18,EMA_N150_th2_bL2_sL0,EMA,150,0.02,2.0,0.0,SSO,0.1433984185340631,0.6880036791568894,0.5264297297053394,0.2723980247360423,0.9364061391204025,0.23533923494058656,39,0.11846703405533865,0.5855782370296609,0.5633753100539242,0.2102808411039515,0.780400343297489,0.24162486984361248,39,0.02493138447872445,0.9140625,True,False,False,True,True,False,True,4
19,SMA_N150_th5_bL2_sL0,SMA,150,0.05,2.0,0.0,SSO,0.13412362644562936,0.6515194136671159,0.432639623274856,0.31001235030296936,0.8796582069464779,0.23659270831017196,17,0.11550153170537647,0.5745773946090319,0.4326396232748558,0.2669693793441531,0.762492619789816,0.24189605743737486,17,0.018622094740252892,0.9130208333333334,True,False,False,True,True,False,True,4
20,SMA_N200_th2_bL3_sL0,SMA,200,0.02,3.0,0.0,UPRO,0.18186008330908754,0.652352461750908,0.5743371867786841,0.3166434065136823,0.8822719209020294,0.35352320358417216,26,0.15245389351030236,0.5779227800717913,0.5993346289551253,0.2543719086882884,0.7705804962274828,0.3599596937455377,26,0.029406189798785176,0.9125000000000001,True,False,False,True,True,False,False,3
21,EMA_N100_th0_bL3_sL0,EMA,100,0.0,3.0,0.0,UPRO,0.1718940548452481,0.641471636637973,0.5299025420380611,0.3243880547998986,0.8695499899839139,0.3368861303338,176,0.12376029434253155,0.5131583155984404,0.5720405275011518,0.21634882214229545,0.6805752645411269,0.3464495302366777,176,0.04813376050271656,0.909375,True,False,False,True,True,False,False,3
22,EMA_N200_th5_bL1_sL0,EMA,200,0.05,1.0,0.0,SPY,0.08196167206449467,0.6920960506244557,0.21150730331185358,0.3875122550432577,0.9358733149933136,0.12519619002214813,14,0.07096228975201124,0.5938892836772819,0.23526059307741165,0.30163270789962415,0.7813933060908843,0.12973368998874013,14,0.01099938231248343,0.9078125000000001,True,False,False,True,True,False,True,4
23,SMA_N150_th0_bL3_sL0,SMA,150,0.0,3.0,0.0,UPRO,0.18087719845284478,0.660548558159988,0.5896695369957533,0.3067433318234098,0.8947615045422542,0.3407699855668495,124,0.14070605580222906,0.5553189714071808,0.6290807898914464,0.2236692934567421,0.7404158397968938,0.34769967863119194,124,0.04017114265061572,0.9078125,True,False,False,True,True,False,False,3
24,SMA_N200_th0_bL1_sL0,SMA,200,0.0,1.0,0.0,SPY,0.0783578876250568,0.7062380151667217,0.22408376523949566,0.3496812343424775,0.9605975346240424,0.11644603126015089,90,0.06161382285122041,0.55334173316847,0.2630414589514001,0.23423616602812514,0.7283717785078054,0.12146894847159938,90,0.016744064773836387,0.9062500000000001,True,False,False,True,True,False,True,4
25,SMA_N200_th5_bL1_sL0,SMA,200,0.05,1.0,0.0,SPY,0.0806233440301003,0.7009321495217923,0.23930973258682328,0.33689956174619673,0.9498753703010553,0.12113085166717588,14,0.06951345959810551,0.598243467920095,0.23930973258682314,0.2904748538502736,0.7880954967249606,0.1256388614076469,14,0.011109884431994788,0.9052083333333334,True,False,False,True,True,False,True,4
26,EMA_N100_th0_bL2_sL0,EMA,100,0.0,2.0,0.0,SSO,0.12380547596307023,0.6322406788576549,0.3902431082544161,0.31725217779465864,0.8552802687084324,0.22497154845605985,176,0.08933212257317047,0.48555141212047565,0.4287447684708385,0.2083573471736635,0.6401198669547131,0.23265744800067095,176,0.034473353389899763,0.9046875000000002,True,False,False,True,True,False,True,4
27,SMA_N100_th5_bL1_sL0,SMA,100,0.05,1.0,0.0,SPY,0.07841309200021729,0.722683042045734,0.25289289372059265,0.310064434182368,0.9785199321693928,0.11338155926227403,21,0.06597566598419657,0.6027091504678065,0.2859222623796701,0.2307468660715509,0.7937482251490103,0.11754118519536925,21,0.012437426016020714,0.9041666666666668,True,False,False,True,True,False,True,4
28,EMA_N100_th5_bL3_sL0,EMA,100,0.05,3.0,0.0,UPRO,0.19274931863641154,0.6798760001340215,0.6519292533402574,0.29565987052863707,0.9254710778794306,0.3510547341747051,18,0.16650105963347905,0.612785169072742,0.6824269607745265,0.24398370698090124,0.8224076599259863,0.35723720957123434,18,0.026248259002932484,0.9020833333333333,True,False,False,True,True,False,False,3
29,EMA_N200_th5_bL2_sL0,EMA,200,0.05,2.0,0.0,SSO,0.12765102596348687,0.6080476521900351,0.3910799294397589,0.3264064871504738,0.8190280768644042,0.2492341064820802,14,0.11080764680040356,0.5417583483439186,0.42172694246365755,0.26274737429172534,0.7170641360125803,0.25494768215885044,14,0.016843379163083316,0.9018229166666667,True,False,False,True,True,False,True,4
30,SMA_N150_th0_bL1_sL0,SMA,150,0.0,1.0,0.0,SPY,0.07648674480157047,0.7001925501154077,0.23544104311673966,0.32486580839537715,0.949399036712388,0.11468023988675191,124,0.05872993661107384,0.5394412480745304,0.26160149446473424,0.224501533262422,0.7109578035185493,0.11898941391361062,124,0.01775680819049663,0.8984375,True,False,False,True,True,False,True,4
31,SMA_N150_th5_bL3_sL0,SMA,150,0.05,3.0,0.0,UPRO,0.17749122102981407,0.6412776791403804,0.587520426157425,0.30210221317863706,0.8662084356607538,0.3543245399677991,17,0.15378629827849388,0.5810875494107023,0.587520426157425,0.26175481129108374,0.7750720145932932,0.3600413673240645,17,0.02370492275132019,0.8971354166666667,True,False,False,True,True,False,False,3
32,SMA_N200_th5_bL2_sL0,SMA,200,0.05,2.0,0.0,SSO,0.1273715805700848,0.6192758388043752,0.43263962327485594,0.29440572180131924,0.8361674804242903,0.24097761921002273,14,0.11008444888904267,0.5486020892719224,0.43263962327485606,0.2544483745056934,0.7273196797012502,0.24669597411666716,14,0.017287131681042123,0.8968750000000001,True,False,False,True,True,False,True,4
33,SMA_N100_th5_bL2_sL0,SMA,100,0.05,2.0,0.0,SSO,0.12629995904507374,0.6409236514972727,0.45302371109952566,0.2787932639078281,0.8646093679451573,0.22564813803976586,21,0.10706644883320093,0.5571973181669297,0.4915760705314194,0.21780240180824204,0.7379814000620324,0.23106784127934557,21,0.019233510211872806,0.8947916666666668,True,False,False,True,True,False,True,4
34,EMA_N150_th2_bL3_sL0,EMA,150,0.02,3.0,0.0,UPRO,0.19301730062094324,0.678698956485952,0.6805297525687898,0.2836280116958333,0.9244860348388547,0.3529324531775024,39,0.16035901327473923,0.5960649942575348,0.7115682528276782,0.22535998850074282,0.7988956890133972,0.36005973657449625,39,0.03265828734620402,0.8932291666666667,True,False,False,True,True,False,False,3
