regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,2010-01-29,2010-02-01,1,1.0,0.9985,-0.0014999999999999458,1.0,0.9985,0.0,-0.0014999999999999458
+1 long,2010-02-01,2010-05-20,76,0.9985,0.9871790498856697,-0.011337957049905145,0.9985,0.9871790498856697,0.0,-0.011337957049905145
-1 short/cash,2010-05-20,2010-08-02,50,0.9871790498856697,0.9856982813108413,-0.0014999999999999458,0.9871790498856697,0.9856982813108413,0.0,-0.0014999999999999458
+1 long,2010-08-02,2010-08-20,14,0.9856982813108413,0.9385699537524621,-0.0478121230927836,0.9856982813108413,0.9385699537524621,0.0,-0.0478121230927836
-1 short/cash,2010-08-20,2010-09-13,15,0.9385699537524621,0.9371620988218334,-0.0014999999999999458,0.9385699537524621,0.9371620988218334,0.0,-0.0014999999999999458
+1 long,2010-09-13,2011-08-02,224,0.9371620988218334,1.0626275334525603,0.1338780503271073,0.9371620988218334,1.0435968567857163,0.01905926556519173,0.11357134277804115
-1 short/cash,2011-08-02,2011-10-24,58,1.0626275334525603,1.0610335921523815,-0.0015000000000000568,1.0435968567857163,1.0420314615005377,0.0,-0.0015000000000000568
+1 long,2011-10-24,2011-11-21,20,1.0610335921523815,1.0102226051268453,-0.04788819826379154,1.0420314615005377,0.9921304522750908,0.0,-0.0478881982637922
-1 short/cash,2011-11-21,2011-12-05,9,1.0102226051268453,1.008707271219155,-0.0015000000000000568,0.9921304522750908,0.9906422565966782,0.0,-0.0014999999999999458
+1 long,2011-12-05,2012-06-01,123,1.008707271219155,1.0336553284906074,0.024732702919152638,0.9906422565966782,1.011245433625773,0.0039039395117363984,0.020797797481278968
-1 short/cash,2012-06-01,2012-06-18,11,1.0336553284906074,1.0321048454978714,-0.0015000000000000568,1.011245433625773,1.0097285654753343,0.0,-0.0015000000000000568
+1 long,2012-06-18,2014-10-13,583,1.0321048454978714,1.505128074398316,0.4583092802672246,1.0097285654753343,1.4028541528401224,0.06974700525134782,0.3893378882271419
-1 short/cash,2014-10-13,2014-10-24,9,1.505128074398316,1.5028703822867184,-0.0015000000000000568,1.4028541528401224,1.4007498716108622,0.0,-0.0015000000000000568
+1 long,2014-10-24,2015-08-21,207,1.5028703822867184,1.5322465499491527,0.01954670742644904,1.4007498716108622,1.4237077436200607,0.0044288191375206456,0.016389701312481186
-1 short/cash,2015-08-21,2015-10-23,44,1.5322465499491527,1.529948180124229,-0.0014999999999999458,1.4237077436200607,1.4215721820046305,0.0,-0.0015000000000000568
+1 long,2015-10-23,2016-01-06,50,1.529948180124229,1.4724737660468494,-0.0375662488599533,1.4215721820046305,1.3681690476430577,0.0,-0.0375662488599533
-1 short/cash,2016-01-06,2016-03-11,45,1.4724737660468494,1.4702650553977792,-0.0014999999999999458,1.3681690476430577,1.366116794071593,0.0,-0.0015000000000000568
+1 long,2016-03-11,2018-10-24,661,1.4702650553977792,2.026563296614614,0.3783659546110405,1.366116794071593,1.8051676899571383,0.07795812620283114,0.3213860614193842
-1 short/cash,2018-10-24,2019-02-05,69,2.026563296614614,2.0235234516696923,-0.0014999999999999458,1.8051676899571383,1.8024599384222026,0.0,-0.0014999999999999458
+1 long,2019-02-05,2020-02-27,267,2.0235234516696923,2.242724550751517,0.10832644361050181,1.8024599384222026,1.9680203485837835,0.029738272126286047,0.09185247706892463
-1 short/cash,2020-02-27,2020-05-26,61,2.242724550751517,2.23936046392539,-0.0014999999999999458,1.9680203485837835,1.9650683180609079,0.0,-0.0014999999999999458
+1 long,2020-05-26,2022-01-25,421,2.23936046392539,3.334078944496759,0.488853178488482,1.9650683180609079,2.781161586935765,0.14475375498870927,0.41530020171520676
-1 short/cash,2022-01-25,2022-02-02,6,3.334078944496759,3.3290778260800136,-0.0015000000000000568,2.781161586935765,2.776989844555361,0.0,-0.0015000000000000568
+1 long,2022-02-02,2022-02-18,12,3.3290778260800136,3.1560447933139955,-0.05197626544218237,2.776989844555361,2.632652283264507,0.0,-0.05197626544218226
-1 short/cash,2022-02-18,2022-03-24,23,3.1560447933139955,3.1513107261240245,-0.0014999999999999458,2.632652283264507,2.6287033048396102,0.0,-0.0015000000000000568
+1 long,2022-03-24,2022-04-22,20,3.1513107261240245,2.9758053344698454,-0.0556928233700531,2.6287033048396102,2.4823033959909035,0.0,-0.05569282337005288
-1 short/cash,2022-04-22,2022-08-12,77,2.9758053344698454,2.9713416264681407,-0.0014999999999999458,2.4823033959909035,2.478579940896917,0.0,-0.0015000000000000568
+1 long,2022-08-12,2022-08-26,10,2.9713416264681407,2.8155186207255087,-0.05244196909389032,2.478579940896917,2.3485983282396643,0.0,-0.05244196909389043
-1 short/cash,2022-08-26,2022-11-30,66,2.8155186207255087,2.8112953427944203,-0.0015000000000000568,2.3485983282396643,2.345075430747305,0.0,-0.0014999999999999458
+1 long,2022-11-30,2022-12-16,12,2.8112953427944203,2.6512692988251834,-0.05692253017079718,2.345075430747305,2.211587803787797,0.0,-0.05692253017079685
-1 short/cash,2022-12-16,2023-01-23,23,2.6512692988251834,2.6472923948769456,-0.0015000000000000568,2.211587803787797,2.208270422082115,0.0,-0.0015000000000000568
+1 long,2023-01-23,2023-03-10,33,2.6472923948769456,2.5462001926835818,-0.03818701794671342,2.208270422082115,2.1239431598428715,0.0,-0.03818701794671231
-1 short/cash,2023-03-10,2023-03-30,14,2.5462001926835818,2.5423808923945566,-0.0014999999999999458,2.1239431598428715,2.1207572451031074,0.0,-0.0014999999999999458
+1 long,2023-03-30,2023-10-25,144,2.5423808923945566,2.644858989699314,0.040307924595923916,2.1207572451031074,2.1929408993765547,0.013319648320911148,0.03403673590653611
-1 short/cash,2023-10-25,2023-11-06,8,2.644858989699314,2.6408917012147652,-0.0014999999999999458,2.1929408993765547,2.18965148802749,0.0,-0.0014999999999999458
+1 long,2023-11-06,2025-03-10,334,2.6408917012147652,3.450243368224988,0.3064690864218076,2.18965148802749,2.759560233892931,0.10130370080370239,0.26027372345853683
-1 short/cash,2025-03-10,2025-05-12,44,3.450243368224988,3.44506800317265,-0.0015000000000000568,2.759560233892931,2.7554208935420914,0.0,-0.0015000000000000568
+1 long,2025-05-12,2026-03-20,215,3.44506800317265,3.8707493420221906,0.12356253590858568,2.7554208935420914,3.044197697977377,0.05176764012647177,0.10480315552229946
-1 short/cash,2026-03-20,2026-04-08,12,3.8707493420221906,3.864943218009157,-0.0015000000000000568,3.044197697977377,3.0396314014304107,0.0,-0.0015000000000000568
+1 long,2026-04-08,2026-04-20,8,3.864943218009157,4.051955677382658,0.04838685818257149,3.0396314014304107,3.186709614978714,0.0,0.04838685818257127
