rank_gain_desc,system_id,name,url,owner,account_type,leverage,platform,gain_pct,drawdown_pct,performance_img_id,raw_text
1,11943479,Mr Kaybrown,https://www.myfxbook.com/members/Kaybrown_BTMFX2/mr-kaybrown/11943479,Kaybrown_BTMFX2,Real (filter),,,44208.51,42.24,11943479,"Mr Kaybrown Kaybrown_BTMFX2 +44,208.51% 42.24% +165.31% +44,208.51% Subscribe Copy Add to watch"
2,11488492,4. AFSID Pro Global Investment+,https://www.myfxbook.com/members/AFSIDDOTCOM/4-afsid-pro-global-investment/11488492,AFSIDDOTCOM,Real (filter),,,8336.46,46.96,11488492,"4. AFSID Pro Global Investment+ AFSIDDOTCOM +8,336.46% 46.96% +27.90% +104.07% Subscribe Copy Add to watch"
3,11986417,PipsHunterFx-AI,https://www.myfxbook.com/members/PipsHunterFx/pipshunterfx-ai/11986417,PipsHunterFx,Real (filter),,,7082.9,9.18,11986417,"PipsHunterFx-AI PipsHunterFx +7,082.90% 9.18% +322.76% +7,082.83% Subscribe Copy Add to watch"
4,3534905,IC Markets,https://www.myfxbook.com/members/FERRARI2009/ic-markets/3534905,FERRARI2009,Real (filter),,,6562.61,7.47,3534905,"IC Markets FERRARI2009 +6,562.61% 7.47% +5.28% +25.96% Subscribe Copy Add to watch"
5,11219224,Deus ex machina,https://www.myfxbook.com/members/victor_can/deus-ex-machina/11219224,victor_can,Real (filter),,,5930.74,41.04,11219224,"Deus ex machina victor_can +5,930.74% 41.04% +6.98% +14.12% Subscribe Copy Add to watch"
6,11855712,Active Gold Hunter 2.5K (MT4),https://www.myfxbook.com/members/ActiveTraderLive/active-gold-hunter-25k-mt4/11855712,ActiveTraderLive,Real (filter),,,3555.3,25.04,11855712,"Active Gold Hunter 2.5K (MT4) ActiveTraderLive +3,555.30% 25.04% +71.98% +193.65% Subscribe Copy Add to watch"
7,12000793,Samurai AI MT5,https://www.myfxbook.com/members/TopRank/samurai-ai-mt5/12000793,TopRank,Real (filter),,,3488.4,11.42,12000793,"Samurai AI MT5 TopRank +3,488.40% 11.42% +39.06% +266.56% Subscribe Copy Add to watch"
8,11811889,(MT4) AZK Gold AI 1.026F+,https://www.myfxbook.com/members/AZKGroup/mt4-azk-gold-ai-1026f/11811889,AZKGroup,Real (filter),,,3241.37,28.14,11811889,"(MT4) AZK Gold AI 1.026F+ AZKGroup +3,241.37% 28.14% +71.51% +209.11% Subscribe Copy Add to watch"
9,11730585,MidasAlgo,https://www.myfxbook.com/members/MidasAlgo/midasalgo/11730585,MidasAlgo,Real (filter),,,2800.48,45.57,11730585,"MidasAlgo MidasAlgo +2,800.48% 45.57% +23.66% +7.64% Subscribe Copy Add to watch"
10,11689412,1.1 Active Global Market I (MT4),https://www.myfxbook.com/members/ActiveTraderLive/11-active-global-market-i/11689412,ActiveTraderLive,Real (filter),,,2597.29,48.13,11689412,"1.1 Active Global Market I (MT4) ActiveTraderLive +2,597.29% 48.13% +29.73% +124.08% Subscribe Copy Add to watch"
11,11974965,"CopyADK £300→£10,000 Gold Challenge",https://www.myfxbook.com/members/iamadk/copyadk-30010000-gold-challenge/11974965,iamadk,Real (filter),,,2144.59,27.3,11974965,"CopyADK £300→£10,000 Gold Challenge iamadk +2,144.59% 27.30% +180.40% +2,144.62% Subscribe Copy Add to watch"
12,8016551,R Factor Portfolio Mean Reversal,https://www.myfxbook.com/members/johnmacknamara/r-factor-portfolio-mean-reversal/8016551,johnmacknamara,Real (filter),,,2075.95,40.62,8016551,"R Factor Portfolio Mean Reversal johnmacknamara +2,075.95% 40.62% +4.13% +27.18% Subscribe Copy Add to watch"
13,11204017,NoPain MT5,https://www.myfxbook.com/members/tec_daniel/nopain-mt5/11204017,tec_daniel,Real (filter),,,1970.69,48.22,11204017,"NoPain MT5 tec_daniel +1,970.69% 48.22% +5.68% +16.97% Subscribe Copy Add to watch"
14,11928677,(MT4) AZK Pro AI 1.026F+,https://www.myfxbook.com/members/AZKGroup/mt4-azk-pro-ai-1026f/11928677,AZKGroup,Real (filter),,,1846.93,15.26,11928677,"(MT4) AZK Pro AI 1.026F+ AZKGroup +1,846.93% 15.26% +58.70% +208.05% Subscribe Copy Add to watch"
15,11908784,Midasify-Genesis-Pool,https://www.myfxbook.com/members/Midasify/midasify-genesis-pool/11908784,Midasify,Real (filter),,,1411.83,31.51,11908784,"Midasify-Genesis-Pool Midasify +1,411.83% 31.51% +44.38% +810.61% Subscribe Copy Add to watch"
16,11952751,GoldPulseFX 02,https://www.myfxbook.com/members/GoldPulseFX/goldpulsefx-02/11952751,GoldPulseFX,Real (filter),,,1161.24,34.91,11952751,"GoldPulseFX 02 GoldPulseFX +1,161.24% 34.91% +8.79% +56.08% Subscribe Copy Add to watch"
